source_id,candidate_id,formula,surface,facet,site,source,fallback_used,dG_H,n_elements,n_known_elements,total_atoms,oxygen_fraction,contains_oxygen,Z_mean,Z_std,Z_min,Z_max,en_mean,en_std,en_min,en_max,radius_mean,radius_std,radius_min,radius_max,group_mean,group_std,group_min,group_max,period_mean,period_std,period_min,period_max,valence_mean,valence_std,valence_min,valence_max,d_mean,d_std,d_min,d_max,ox_mean,ox_std,ox_min,ox_max,d_band_proxy,metal_atom_fraction,site_is_top,site_is_bridge,site_is_hollow,coordination_number,facet_digit_sum,matminer_MagpieData minimum Number,matminer_MagpieData maximum Number,matminer_MagpieData range Number,matminer_MagpieData mean Number,matminer_MagpieData avg_dev Number,matminer_MagpieData mode Number,matminer_MagpieData minimum MendeleevNumber,matminer_MagpieData maximum MendeleevNumber,matminer_MagpieData range MendeleevNumber,matminer_MagpieData mean MendeleevNumber,matminer_MagpieData avg_dev MendeleevNumber,matminer_MagpieData mode MendeleevNumber,matminer_MagpieData minimum AtomicWeight,matminer_MagpieData maximum AtomicWeight,matminer_MagpieData range AtomicWeight,matminer_MagpieData mean AtomicWeight,matminer_MagpieData avg_dev AtomicWeight,matminer_MagpieData mode AtomicWeight,matminer_MagpieData minimum MeltingT,matminer_MagpieData maximum MeltingT,matminer_MagpieData range MeltingT,matminer_MagpieData mean MeltingT,matminer_MagpieData avg_dev MeltingT,matminer_MagpieData mode MeltingT,matminer_MagpieData minimum Column,matminer_MagpieData maximum Column,matminer_MagpieData range Column,matminer_MagpieData mean Column,matminer_MagpieData avg_dev Column,matminer_MagpieData mode Column,matminer_MagpieData minimum Row,matminer_MagpieData maximum Row,matminer_MagpieData range Row,matminer_MagpieData mean Row,matminer_MagpieData avg_dev Row,matminer_MagpieData mode Row,matminer_MagpieData minimum CovalentRadius,matminer_MagpieData maximum CovalentRadius,matminer_MagpieData range CovalentRadius,matminer_MagpieData mean CovalentRadius,matminer_MagpieData avg_dev CovalentRadius,matminer_MagpieData mode CovalentRadius,matminer_MagpieData minimum Electronegativity,matminer_MagpieData maximum Electronegativity,matminer_MagpieData range Electronegativity,matminer_MagpieData mean Electronegativity,matminer_MagpieData avg_dev Electronegativity,matminer_MagpieData mode Electronegativity,matminer_MagpieData minimum NsValence,matminer_MagpieData maximum NsValence,matminer_MagpieData range NsValence,matminer_MagpieData mean NsValence,matminer_MagpieData avg_dev NsValence,matminer_MagpieData mode NsValence,matminer_MagpieData minimum NpValence,matminer_MagpieData maximum NpValence,matminer_MagpieData range NpValence,matminer_MagpieData mean NpValence,matminer_MagpieData avg_dev NpValence,matminer_MagpieData mode NpValence,matminer_MagpieData minimum NdValence,matminer_MagpieData maximum NdValence,matminer_MagpieData range NdValence,matminer_MagpieData mean NdValence,matminer_MagpieData avg_dev NdValence,matminer_MagpieData mode NdValence,matminer_MagpieData minimum NfValence,matminer_MagpieData maximum NfValence,matminer_MagpieData range NfValence,matminer_MagpieData mean NfValence,matminer_MagpieData avg_dev NfValence,matminer_MagpieData mode NfValence,matminer_MagpieData minimum NValence,matminer_MagpieData maximum NValence,matminer_MagpieData range NValence,matminer_MagpieData mean NValence,matminer_MagpieData avg_dev NValence,matminer_MagpieData mode NValence,matminer_MagpieData minimum NsUnfilled,matminer_MagpieData maximum NsUnfilled,matminer_MagpieData range NsUnfilled,matminer_MagpieData mean NsUnfilled,matminer_MagpieData avg_dev NsUnfilled,matminer_MagpieData mode NsUnfilled,matminer_MagpieData minimum NpUnfilled,matminer_MagpieData maximum NpUnfilled,matminer_MagpieData range NpUnfilled,matminer_MagpieData mean NpUnfilled,matminer_MagpieData avg_dev NpUnfilled,matminer_MagpieData mode NpUnfilled,matminer_MagpieData minimum NdUnfilled,matminer_MagpieData maximum NdUnfilled,matminer_MagpieData range NdUnfilled,matminer_MagpieData mean NdUnfilled,matminer_MagpieData avg_dev NdUnfilled,matminer_MagpieData mode NdUnfilled,matminer_MagpieData minimum NUnfilled,matminer_MagpieData maximum NUnfilled,matminer_MagpieData range NUnfilled,matminer_MagpieData mean NUnfilled,matminer_MagpieData avg_dev NUnfilled,matminer_MagpieData mode NUnfilled,matminer_MagpieData minimum GSvolume_pa,matminer_MagpieData maximum GSvolume_pa,matminer_MagpieData range GSvolume_pa,matminer_MagpieData mean GSvolume_pa,matminer_MagpieData avg_dev GSvolume_pa,matminer_MagpieData mode GSvolume_pa,matminer_MagpieData maximum GSbandgap,matminer_MagpieData range GSbandgap,matminer_MagpieData mean GSbandgap,matminer_MagpieData avg_dev GSbandgap,matminer_MagpieData mode GSbandgap,matminer_MagpieData minimum GSmagmom,matminer_MagpieData maximum GSmagmom,matminer_MagpieData range GSmagmom,matminer_MagpieData mean GSmagmom,matminer_MagpieData avg_dev GSmagmom,matminer_MagpieData mode GSmagmom,matminer_MagpieData minimum SpaceGroupNumber,matminer_MagpieData maximum SpaceGroupNumber,matminer_MagpieData range SpaceGroupNumber,matminer_MagpieData mean SpaceGroupNumber,matminer_MagpieData avg_dev SpaceGroupNumber,matminer_MagpieData mode SpaceGroupNumber
UmVhY3Rpb246NDc0OTMw,CrMo26B54|MoB2-Cr-B00|001,CrMo26B54,MoB2-Cr-B00,1,site12,Catalysis-Hub,False,1.6269881549999354,3.0,2.0,81.0,0.0,0.0,41.333333333333336,3.39934634239519,24.0,42.0,2.1414814814814815,0.09442628728875532,1.66,2.16,189.11111111111111,4.532461789860253,166.0,190.0,6.0,0.0,6.0,6.0,4.962962962962963,0.18885257457751053,4.0,5.0,6.0,0.0,6.0,6.0,5.0,0.0,5.0,5.0,5.888888888888889,0.5665577237325317,3.0,6.0,4.950481481481481,1.0,0.0,0.0,0.0,0.0,1.0,5.0,42.0,37.0,17.11111111111111,16.14814814814815,5.0,49.0,72.0,23.0,64.65432098765432,9.794238683127574,72.0,10.811,95.96,85.149,38.65123580246913,37.12031440329218,10.811,2180.0,2896.0,716.0,2521.8271604938273,240.20972412741963,2348.0,6.0,13.0,7.0,10.666666666666666,3.111111111111111,13.0,2.0,5.0,3.0,2.9876543209876543,1.3168724279835389,2.0,84.0,154.0,70.0,107.14814814814815,30.864197530864196,84.0,1.66,2.16,0.5000000000000002,2.073827160493827,0.055320835238530756,2.04,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444444,1.0,0.0,5.0,5.0,1.6666666666666667,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.0,1.3333333333333333,3.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0,0.0,5.0,5.0,3.3333333333333335,2.2222222222222223,5.0,0.0,5.0,5.0,1.6666666666666667,2.2222222222222223,0.0,5.0,6.0,1.0,5.333333333333333,0.4444444444444444,5.0,7.1725,15.69,8.517499999999998,9.95611111111111,3.711481481481481,7.1725,1.524,1.524,1.016,0.6773333333333333,1.524,0.0,0.0,0.0,0.0,0.0,0.0,166.0,229.0,63.0,187.0,28.0,166.0
UmVhY3Rpb246NDc0OTgx,CrMo26B54|MoB2-Cr-B00|001,CrMo26B54,MoB2-Cr-B00,1,site3,Catalysis-Hub,False,-0.579474135000055,3.0,2.0,81.0,0.0,0.0,41.333333333333336,3.39934634239519,24.0,42.0,2.1414814814814815,0.09442628728875532,1.66,2.16,189.11111111111111,4.532461789860253,166.0,190.0,6.0,0.0,6.0,6.0,4.962962962962963,0.18885257457751053,4.0,5.0,6.0,0.0,6.0,6.0,5.0,0.0,5.0,5.0,5.888888888888889,0.5665577237325317,3.0,6.0,4.950481481481481,1.0,0.0,0.0,0.0,0.0,1.0,5.0,42.0,37.0,17.11111111111111,16.14814814814815,5.0,49.0,72.0,23.0,64.65432098765432,9.794238683127574,72.0,10.811,95.96,85.149,38.65123580246913,37.12031440329218,10.811,2180.0,2896.0,716.0,2521.8271604938273,240.20972412741963,2348.0,6.0,13.0,7.0,10.666666666666666,3.111111111111111,13.0,2.0,5.0,3.0,2.9876543209876543,1.3168724279835389,2.0,84.0,154.0,70.0,107.14814814814815,30.864197530864196,84.0,1.66,2.16,0.5000000000000002,2.073827160493827,0.055320835238530756,2.04,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444444,1.0,0.0,5.0,5.0,1.6666666666666667,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.0,1.3333333333333333,3.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0,0.0,5.0,5.0,3.3333333333333335,2.2222222222222223,5.0,0.0,5.0,5.0,1.6666666666666667,2.2222222222222223,0.0,5.0,6.0,1.0,5.333333333333333,0.4444444444444444,5.0,7.1725,15.69,8.517499999999998,9.95611111111111,3.711481481481481,7.1725,1.524,1.524,1.016,0.6773333333333333,1.524,0.0,0.0,0.0,0.0,0.0,0.0,166.0,229.0,63.0,187.0,28.0,166.0
UmVhY3Rpb246NDc0OTgy,CrMo26B54|MoB2-Cr-B00|001,CrMo26B54,MoB2-Cr-B00,1,site4,Catalysis-Hub,False,-0.4934330549999686,3.0,2.0,81.0,0.0,0.0,41.333333333333336,3.39934634239519,24.0,42.0,2.1414814814814815,0.09442628728875532,1.66,2.16,189.11111111111111,4.532461789860253,166.0,190.0,6.0,0.0,6.0,6.0,4.962962962962963,0.18885257457751053,4.0,5.0,6.0,0.0,6.0,6.0,5.0,0.0,5.0,5.0,5.888888888888889,0.5665577237325317,3.0,6.0,4.950481481481481,1.0,0.0,0.0,0.0,0.0,1.0,5.0,42.0,37.0,17.11111111111111,16.14814814814815,5.0,49.0,72.0,23.0,64.65432098765432,9.794238683127574,72.0,10.811,95.96,85.149,38.65123580246913,37.12031440329218,10.811,2180.0,2896.0,716.0,2521.8271604938273,240.20972412741963,2348.0,6.0,13.0,7.0,10.666666666666666,3.111111111111111,13.0,2.0,5.0,3.0,2.9876543209876543,1.3168724279835389,2.0,84.0,154.0,70.0,107.14814814814815,30.864197530864196,84.0,1.66,2.16,0.5000000000000002,2.073827160493827,0.055320835238530756,2.04,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444444,1.0,0.0,5.0,5.0,1.6666666666666667,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.0,1.3333333333333333,3.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0,0.0,5.0,5.0,3.3333333333333335,2.2222222222222223,5.0,0.0,5.0,5.0,1.6666666666666667,2.2222222222222223,0.0,5.0,6.0,1.0,5.333333333333333,0.4444444444444444,5.0,7.1725,15.69,8.517499999999998,9.95611111111111,3.711481481481481,7.1725,1.524,1.524,1.016,0.6773333333333333,1.524,0.0,0.0,0.0,0.0,0.0,0.0,166.0,229.0,63.0,187.0,28.0,166.0
UmVhY3Rpb246NDc0OTg3,CrMo26B54|MoB2-Cr-B00|001,CrMo26B54,MoB2-Cr-B00,1,site5,Catalysis-Hub,False,-0.4909276550000641,3.0,2.0,81.0,0.0,0.0,41.333333333333336,3.39934634239519,24.0,42.0,2.1414814814814815,0.09442628728875532,1.66,2.16,189.11111111111111,4.532461789860253,166.0,190.0,6.0,0.0,6.0,6.0,4.962962962962963,0.18885257457751053,4.0,5.0,6.0,0.0,6.0,6.0,5.0,0.0,5.0,5.0,5.888888888888889,0.5665577237325317,3.0,6.0,4.950481481481481,1.0,0.0,0.0,0.0,0.0,1.0,5.0,42.0,37.0,17.11111111111111,16.14814814814815,5.0,49.0,72.0,23.0,64.65432098765432,9.794238683127574,72.0,10.811,95.96,85.149,38.65123580246913,37.12031440329218,10.811,2180.0,2896.0,716.0,2521.8271604938273,240.20972412741963,2348.0,6.0,13.0,7.0,10.666666666666666,3.111111111111111,13.0,2.0,5.0,3.0,2.9876543209876543,1.3168724279835389,2.0,84.0,154.0,70.0,107.14814814814815,30.864197530864196,84.0,1.66,2.16,0.5000000000000002,2.073827160493827,0.055320835238530756,2.04,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444444,1.0,0.0,5.0,5.0,1.6666666666666667,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.0,1.3333333333333333,3.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0,0.0,5.0,5.0,3.3333333333333335,2.2222222222222223,5.0,0.0,5.0,5.0,1.6666666666666667,2.2222222222222223,0.0,5.0,6.0,1.0,5.333333333333333,0.4444444444444444,5.0,7.1725,15.69,8.517499999999998,9.95611111111111,3.711481481481481,7.1725,1.524,1.524,1.016,0.6773333333333333,1.524,0.0,0.0,0.0,0.0,0.0,0.0,166.0,229.0,63.0,187.0,28.0,166.0
UmVhY3Rpb246NDc0OTg4,CrMo26B54|MoB2-Cr-B00|001,CrMo26B54,MoB2-Cr-B00,1,site2,Catalysis-Hub,False,-0.5974980250000499,3.0,2.0,81.0,0.0,0.0,41.333333333333336,3.39934634239519,24.0,42.0,2.1414814814814815,0.09442628728875532,1.66,2.16,189.11111111111111,4.532461789860253,166.0,190.0,6.0,0.0,6.0,6.0,4.962962962962963,0.18885257457751053,4.0,5.0,6.0,0.0,6.0,6.0,5.0,0.0,5.0,5.0,5.888888888888889,0.5665577237325317,3.0,6.0,4.950481481481481,1.0,0.0,0.0,0.0,0.0,1.0,5.0,42.0,37.0,17.11111111111111,16.14814814814815,5.0,49.0,72.0,23.0,64.65432098765432,9.794238683127574,72.0,10.811,95.96,85.149,38.65123580246913,37.12031440329218,10.811,2180.0,2896.0,716.0,2521.8271604938273,240.20972412741963,2348.0,6.0,13.0,7.0,10.666666666666666,3.111111111111111,13.0,2.0,5.0,3.0,2.9876543209876543,1.3168724279835389,2.0,84.0,154.0,70.0,107.14814814814815,30.864197530864196,84.0,1.66,2.16,0.5000000000000002,2.073827160493827,0.055320835238530756,2.04,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444444,1.0,0.0,5.0,5.0,1.6666666666666667,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.0,1.3333333333333333,3.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0,0.0,5.0,5.0,3.3333333333333335,2.2222222222222223,5.0,0.0,5.0,5.0,1.6666666666666667,2.2222222222222223,0.0,5.0,6.0,1.0,5.333333333333333,0.4444444444444444,5.0,7.1725,15.69,8.517499999999998,9.95611111111111,3.711481481481481,7.1725,1.524,1.524,1.016,0.6773333333333333,1.524,0.0,0.0,0.0,0.0,0.0,0.0,166.0,229.0,63.0,187.0,28.0,166.0
UmVhY3Rpb246NDc0OTky,CrMo26B54|MoB2-Cr-B00|001,CrMo26B54,MoB2-Cr-B00,1,site10,Catalysis-Hub,False,0.1651317249999238,3.0,2.0,81.0,0.0,0.0,41.333333333333336,3.39934634239519,24.0,42.0,2.1414814814814815,0.09442628728875532,1.66,2.16,189.11111111111111,4.532461789860253,166.0,190.0,6.0,0.0,6.0,6.0,4.962962962962963,0.18885257457751053,4.0,5.0,6.0,0.0,6.0,6.0,5.0,0.0,5.0,5.0,5.888888888888889,0.5665577237325317,3.0,6.0,4.950481481481481,1.0,0.0,0.0,0.0,0.0,1.0,5.0,42.0,37.0,17.11111111111111,16.14814814814815,5.0,49.0,72.0,23.0,64.65432098765432,9.794238683127574,72.0,10.811,95.96,85.149,38.65123580246913,37.12031440329218,10.811,2180.0,2896.0,716.0,2521.8271604938273,240.20972412741963,2348.0,6.0,13.0,7.0,10.666666666666666,3.111111111111111,13.0,2.0,5.0,3.0,2.9876543209876543,1.3168724279835389,2.0,84.0,154.0,70.0,107.14814814814815,30.864197530864196,84.0,1.66,2.16,0.5000000000000002,2.073827160493827,0.055320835238530756,2.04,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444444,1.0,0.0,5.0,5.0,1.6666666666666667,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.0,1.3333333333333333,3.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0,0.0,5.0,5.0,3.3333333333333335,2.2222222222222223,5.0,0.0,5.0,5.0,1.6666666666666667,2.2222222222222223,0.0,5.0,6.0,1.0,5.333333333333333,0.4444444444444444,5.0,7.1725,15.69,8.517499999999998,9.95611111111111,3.711481481481481,7.1725,1.524,1.524,1.016,0.6773333333333333,1.524,0.0,0.0,0.0,0.0,0.0,0.0,166.0,229.0,63.0,187.0,28.0,166.0
UmVhY3Rpb246NDc1MDAx,CrMo26B54|MoB2-Cr-B00|001,CrMo26B54,MoB2-Cr-B00,1,site11,Catalysis-Hub,False,1.4970359149999697,3.0,2.0,81.0,0.0,0.0,41.333333333333336,3.39934634239519,24.0,42.0,2.1414814814814815,0.09442628728875532,1.66,2.16,189.11111111111111,4.532461789860253,166.0,190.0,6.0,0.0,6.0,6.0,4.962962962962963,0.18885257457751053,4.0,5.0,6.0,0.0,6.0,6.0,5.0,0.0,5.0,5.0,5.888888888888889,0.5665577237325317,3.0,6.0,4.950481481481481,1.0,0.0,0.0,0.0,0.0,1.0,5.0,42.0,37.0,17.11111111111111,16.14814814814815,5.0,49.0,72.0,23.0,64.65432098765432,9.794238683127574,72.0,10.811,95.96,85.149,38.65123580246913,37.12031440329218,10.811,2180.0,2896.0,716.0,2521.8271604938273,240.20972412741963,2348.0,6.0,13.0,7.0,10.666666666666666,3.111111111111111,13.0,2.0,5.0,3.0,2.9876543209876543,1.3168724279835389,2.0,84.0,154.0,70.0,107.14814814814815,30.864197530864196,84.0,1.66,2.16,0.5000000000000002,2.073827160493827,0.055320835238530756,2.04,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444444,1.0,0.0,5.0,5.0,1.6666666666666667,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.0,1.3333333333333333,3.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0,0.0,5.0,5.0,3.3333333333333335,2.2222222222222223,5.0,0.0,5.0,5.0,1.6666666666666667,2.2222222222222223,0.0,5.0,6.0,1.0,5.333333333333333,0.4444444444444444,5.0,7.1725,15.69,8.517499999999998,9.95611111111111,3.711481481481481,7.1725,1.524,1.524,1.016,0.6773333333333333,1.524,0.0,0.0,0.0,0.0,0.0,0.0,166.0,229.0,63.0,187.0,28.0,166.0
UmVhY3Rpb246NDc1MDQ3,CrMo26B54|MoB2-Cr-B00|001,CrMo26B54,MoB2-Cr-B00,1,site7,Catalysis-Hub,False,-0.4307993050000505,3.0,2.0,81.0,0.0,0.0,41.333333333333336,3.39934634239519,24.0,42.0,2.1414814814814815,0.09442628728875532,1.66,2.16,189.11111111111111,4.532461789860253,166.0,190.0,6.0,0.0,6.0,6.0,4.962962962962963,0.18885257457751053,4.0,5.0,6.0,0.0,6.0,6.0,5.0,0.0,5.0,5.0,5.888888888888889,0.5665577237325317,3.0,6.0,4.950481481481481,1.0,0.0,0.0,0.0,0.0,1.0,5.0,42.0,37.0,17.11111111111111,16.14814814814815,5.0,49.0,72.0,23.0,64.65432098765432,9.794238683127574,72.0,10.811,95.96,85.149,38.65123580246913,37.12031440329218,10.811,2180.0,2896.0,716.0,2521.8271604938273,240.20972412741963,2348.0,6.0,13.0,7.0,10.666666666666666,3.111111111111111,13.0,2.0,5.0,3.0,2.9876543209876543,1.3168724279835389,2.0,84.0,154.0,70.0,107.14814814814815,30.864197530864196,84.0,1.66,2.16,0.5000000000000002,2.073827160493827,0.055320835238530756,2.04,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444444,1.0,0.0,5.0,5.0,1.6666666666666667,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.0,1.3333333333333333,3.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0,0.0,5.0,5.0,3.3333333333333335,2.2222222222222223,5.0,0.0,5.0,5.0,1.6666666666666667,2.2222222222222223,0.0,5.0,6.0,1.0,5.333333333333333,0.4444444444444444,5.0,7.1725,15.69,8.517499999999998,9.95611111111111,3.711481481481481,7.1725,1.524,1.524,1.016,0.6773333333333333,1.524,0.0,0.0,0.0,0.0,0.0,0.0,166.0,229.0,63.0,187.0,28.0,166.0
UmVhY3Rpb246NDc1MDQ4,CrMo26B54|MoB2-Cr-B00|001,CrMo26B54,MoB2-Cr-B00,1,site9,Catalysis-Hub,False,-0.3403536850000819,3.0,2.0,81.0,0.0,0.0,41.333333333333336,3.39934634239519,24.0,42.0,2.1414814814814815,0.09442628728875532,1.66,2.16,189.11111111111111,4.532461789860253,166.0,190.0,6.0,0.0,6.0,6.0,4.962962962962963,0.18885257457751053,4.0,5.0,6.0,0.0,6.0,6.0,5.0,0.0,5.0,5.0,5.888888888888889,0.5665577237325317,3.0,6.0,4.950481481481481,1.0,0.0,0.0,0.0,0.0,1.0,5.0,42.0,37.0,17.11111111111111,16.14814814814815,5.0,49.0,72.0,23.0,64.65432098765432,9.794238683127574,72.0,10.811,95.96,85.149,38.65123580246913,37.12031440329218,10.811,2180.0,2896.0,716.0,2521.8271604938273,240.20972412741963,2348.0,6.0,13.0,7.0,10.666666666666666,3.111111111111111,13.0,2.0,5.0,3.0,2.9876543209876543,1.3168724279835389,2.0,84.0,154.0,70.0,107.14814814814815,30.864197530864196,84.0,1.66,2.16,0.5000000000000002,2.073827160493827,0.055320835238530756,2.04,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444444,1.0,0.0,5.0,5.0,1.6666666666666667,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.0,1.3333333333333333,3.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0,0.0,5.0,5.0,3.3333333333333335,2.2222222222222223,5.0,0.0,5.0,5.0,1.6666666666666667,2.2222222222222223,0.0,5.0,6.0,1.0,5.333333333333333,0.4444444444444444,5.0,7.1725,15.69,8.517499999999998,9.95611111111111,3.711481481481481,7.1725,1.524,1.524,1.016,0.6773333333333333,1.524,0.0,0.0,0.0,0.0,0.0,0.0,166.0,229.0,63.0,187.0,28.0,166.0
UmVhY3Rpb246NDc1MDUy,CrMo26B54|MoB2-Cr-B00|001,CrMo26B54,MoB2-Cr-B00,1,site8,Catalysis-Hub,False,-0.394416415000137,3.0,2.0,81.0,0.0,0.0,41.333333333333336,3.39934634239519,24.0,42.0,2.1414814814814815,0.09442628728875532,1.66,2.16,189.11111111111111,4.532461789860253,166.0,190.0,6.0,0.0,6.0,6.0,4.962962962962963,0.18885257457751053,4.0,5.0,6.0,0.0,6.0,6.0,5.0,0.0,5.0,5.0,5.888888888888889,0.5665577237325317,3.0,6.0,4.950481481481481,1.0,0.0,0.0,0.0,0.0,1.0,5.0,42.0,37.0,17.11111111111111,16.14814814814815,5.0,49.0,72.0,23.0,64.65432098765432,9.794238683127574,72.0,10.811,95.96,85.149,38.65123580246913,37.12031440329218,10.811,2180.0,2896.0,716.0,2521.8271604938273,240.20972412741963,2348.0,6.0,13.0,7.0,10.666666666666666,3.111111111111111,13.0,2.0,5.0,3.0,2.9876543209876543,1.3168724279835389,2.0,84.0,154.0,70.0,107.14814814814815,30.864197530864196,84.0,1.66,2.16,0.5000000000000002,2.073827160493827,0.055320835238530756,2.04,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444444,1.0,0.0,5.0,5.0,1.6666666666666667,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.0,1.3333333333333333,3.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0,0.0,5.0,5.0,3.3333333333333335,2.2222222222222223,5.0,0.0,5.0,5.0,1.6666666666666667,2.2222222222222223,0.0,5.0,6.0,1.0,5.333333333333333,0.4444444444444444,5.0,7.1725,15.69,8.517499999999998,9.95611111111111,3.711481481481481,7.1725,1.524,1.524,1.016,0.6773333333333333,1.524,0.0,0.0,0.0,0.0,0.0,0.0,166.0,229.0,63.0,187.0,28.0,166.0
