source_id,candidate_id,formula,surface,facet,site,source,fallback_used,dG_OH,dG_O,dG_OOH,overpotential,dG_O_minus_OH,n_elements,n_known_elements,total_atoms,oxygen_fraction,contains_oxygen,Z_mean,Z_std,Z_min,Z_max,en_mean,en_std,en_min,en_max,radius_mean,radius_std,radius_min,radius_max,group_mean,group_std,group_min,group_max,period_mean,period_std,period_min,period_max,valence_mean,valence_std,valence_min,valence_max,d_mean,d_std,d_max,ox_mean,ox_std,ox_min,ox_max,d_band_proxy,metal_atom_fraction,facet_digit_sum,matminer_MagpieData minimum Number,matminer_MagpieData maximum Number,matminer_MagpieData range Number,matminer_MagpieData mean Number,matminer_MagpieData avg_dev Number,matminer_MagpieData mode Number,matminer_MagpieData minimum MendeleevNumber,matminer_MagpieData maximum MendeleevNumber,matminer_MagpieData range MendeleevNumber,matminer_MagpieData mean MendeleevNumber,matminer_MagpieData avg_dev MendeleevNumber,matminer_MagpieData minimum AtomicWeight,matminer_MagpieData maximum AtomicWeight,matminer_MagpieData range AtomicWeight,matminer_MagpieData mean AtomicWeight,matminer_MagpieData avg_dev AtomicWeight,matminer_MagpieData mode AtomicWeight,matminer_MagpieData minimum MeltingT,matminer_MagpieData range MeltingT,matminer_MagpieData mean MeltingT,matminer_MagpieData avg_dev MeltingT,matminer_MagpieData mode MeltingT,matminer_MagpieData minimum Column,matminer_MagpieData maximum Column,matminer_MagpieData range Column,matminer_MagpieData mean Column,matminer_MagpieData avg_dev Column,matminer_MagpieData mode Column,matminer_MagpieData minimum Row,matminer_MagpieData maximum Row,matminer_MagpieData range Row,matminer_MagpieData mean Row,matminer_MagpieData avg_dev Row,matminer_MagpieData mode Row,matminer_MagpieData minimum CovalentRadius,matminer_MagpieData maximum CovalentRadius,matminer_MagpieData range CovalentRadius,matminer_MagpieData mean CovalentRadius,matminer_MagpieData avg_dev CovalentRadius,matminer_MagpieData mode CovalentRadius,matminer_MagpieData minimum Electronegativity,matminer_MagpieData maximum Electronegativity,matminer_MagpieData range Electronegativity,matminer_MagpieData mean Electronegativity,matminer_MagpieData avg_dev Electronegativity,matminer_MagpieData mode Electronegativity,matminer_MagpieData minimum NsValence,matminer_MagpieData range NsValence,matminer_MagpieData mean NsValence,matminer_MagpieData avg_dev NsValence,matminer_MagpieData mode NsValence,matminer_MagpieData maximum NpValence,matminer_MagpieData range NpValence,matminer_MagpieData mean NpValence,matminer_MagpieData avg_dev NpValence,matminer_MagpieData mode NpValence,matminer_MagpieData maximum NdValence,matminer_MagpieData range NdValence,matminer_MagpieData mean NdValence,matminer_MagpieData avg_dev NdValence,matminer_MagpieData maximum NfValence,matminer_MagpieData range NfValence,matminer_MagpieData mean NfValence,matminer_MagpieData avg_dev NfValence,matminer_MagpieData minimum NValence,matminer_MagpieData maximum NValence,matminer_MagpieData range NValence,matminer_MagpieData mean NValence,matminer_MagpieData avg_dev NValence,matminer_MagpieData mode NValence,matminer_MagpieData maximum NsUnfilled,matminer_MagpieData range NsUnfilled,matminer_MagpieData mean NsUnfilled,matminer_MagpieData avg_dev NsUnfilled,matminer_MagpieData maximum NpUnfilled,matminer_MagpieData range NpUnfilled,matminer_MagpieData mean NpUnfilled,matminer_MagpieData avg_dev NpUnfilled,matminer_MagpieData mode NpUnfilled,matminer_MagpieData maximum NdUnfilled,matminer_MagpieData range NdUnfilled,matminer_MagpieData mean NdUnfilled,matminer_MagpieData avg_dev NdUnfilled,matminer_MagpieData minimum NUnfilled,matminer_MagpieData maximum NUnfilled,matminer_MagpieData range NUnfilled,matminer_MagpieData mean NUnfilled,matminer_MagpieData avg_dev NUnfilled,matminer_MagpieData mode NUnfilled,matminer_MagpieData maximum GSvolume_pa,matminer_MagpieData range GSvolume_pa,matminer_MagpieData mean GSvolume_pa,matminer_MagpieData avg_dev GSvolume_pa,matminer_MagpieData maximum GSbandgap,matminer_MagpieData range GSbandgap,matminer_MagpieData mean GSbandgap,matminer_MagpieData avg_dev GSbandgap,matminer_MagpieData maximum GSmagmom,matminer_MagpieData range GSmagmom,matminer_MagpieData mean GSmagmom,matminer_MagpieData avg_dev GSmagmom,matminer_MagpieData minimum SpaceGroupNumber,matminer_MagpieData maximum SpaceGroupNumber,matminer_MagpieData range SpaceGroupNumber,matminer_MagpieData mean SpaceGroupNumber,matminer_MagpieData avg_dev SpaceGroupNumber
,CoC21H17N4O2|Co-31c-3d-1b-1b|facet,CoC21H17N4O2,Co-31c-3d-1b-1b,facet,mixed,Catalysis-Hub,False,1.4623915203119395,3.4641826508159284,4.769054995733313,0.7717911305039888,2.001791130503989,5.0,5.0,45.0,0.044444444444444446,1.0,4.7555555555555555,4.2382153243791745,1.0,27.0,2.486,0.3297028965599179,1.88,3.44,61.77777777777778,15.301254689133453,48.0,152.0,9.155555555555555,6.418568741655575,1.0,16.0,1.6666666666666667,0.5962847939999438,1.0,4.0,3.1555555555555554,1.8732687480628976,1.0,9.0,0.15555555555555556,1.0318388236661244,7.0,1.9555555555555555,2.279917693987663,-3.0,4.0,-0.014544444444444499,0.9555555555555556,0.0,1.0,27.0,26.0,4.7555555555555555,2.837530864197531,6.0,58.0,92.0,34.0,83.13333333333334,7.042962962962965,1.00794,58.933195,57.925255,9.251521666666665,6.228483925925927,12.0107,14.01,3808.99,1836.6882222222223,1853.8909925925927,3823.0,1.0,16.0,15.0,9.155555555555555,6.1688888888888895,14.0,1.0,4.0,3.0,1.6666666666666667,0.5037037037037037,2.0,31.0,126.0,95.0,59.22222222222222,21.323456790123455,76.0,1.88,3.44,1.56,2.486,0.24302222222222203,2.55,1.0,1.0,1.6222222222222222,0.47012345679012346,2.0,4.0,4.0,1.3777777777777778,1.1022222222222222,2.0,7.0,7.0,0.15555555555555556,0.30419753086419754,0.0,0.0,0.0,0.0,1.0,9.0,8.0,3.1555555555555554,1.628641975308642,4.0,1.0,1.0,0.37777777777777777,0.47012345679012346,4.0,4.0,2.2222222222222223,1.7975308641975307,4.0,3.0,3.0,0.06666666666666667,0.1303703703703704,1.0,4.0,3.0,2.6666666666666665,1.3185185185185186,4.0,14.76875,9.12875,7.07611111111111,1.6887654320987646,7.853,7.853,5.6370000000000005,1.8165333333333331,1.5484712,1.5484712,0.03441047111111111,0.06729158795061728,12.0,194.0,182.0,185.9111111111111,15.45876543209878
,CoC23H15N5O4|Co-31t-3a-1a-1a|facet,CoC23H15N5O4,Co-31t-3a-1a-1a,facet,mixed,Catalysis-Hub,False,1.455520641815383,3.5882489474170143,4.731175638480636,0.9027283056016313,2.1327283056016313,5.0,5.0,48.0,0.08333333333333333,1.0,5.145833333333333,4.087529731458299,1.0,27.0,2.5518750000000003,0.37235543195760323,1.88,3.44,61.666666666666664,15.033758308849086,48.0,152.0,10.104166666666666,6.212351887346871,1.0,16.0,1.7291666666666667,0.567875548768292,1.0,4.0,3.4375,1.8586089108075785,1.0,9.0,0.14583333333333334,0.9997829625584856,7.0,1.8125,2.4803918541230536,-3.0,4.0,-0.04732291666666677,0.9166666666666666,0.0,1.0,27.0,26.0,5.145833333333333,2.5911458333333335,6.0,58.0,92.0,34.0,82.64583333333333,6.57204861111111,1.00794,58.933195,57.925255,10.0901978125,5.6764111328125,12.0107,14.01,3808.99,1884.1999999999998,1858.0166666666667,3823.0,1.0,16.0,15.0,10.104166666666666,5.736111111111112,14.0,1.0,4.0,3.0,1.7291666666666667,0.4557291666666667,2.0,31.0,126.0,95.0,61.625,19.140625,76.0,1.88,3.44,1.56,2.5518750000000003,0.24971354166666693,2.55,1.0,1.0,1.6875,0.4296875,2.0,4.0,4.0,1.6041666666666667,1.0694444444444444,2.0,7.0,7.0,0.14583333333333334,0.2855902777777778,0.0,0.0,0.0,0.0,1.0,9.0,8.0,3.4375,1.5234375,4.0,1.0,1.0,0.3125,0.4296875,4.0,4.0,2.3958333333333335,1.663194444444444,4.0,3.0,3.0,0.0625,0.12239583333333333,1.0,4.0,3.0,2.7708333333333335,1.2352430555555556,4.0,14.76875,9.12875,7.280286458333333,1.9877452256944448,7.853,7.853,5.278916666666667,1.8500694444444443,1.5484712,1.5484712,0.03225981666666667,0.06317547430555555,12.0,194.0,182.0,178.83333333333334,27.805555555555546
,CoC23H17N7|Co-32-3e-2a|facet,CoC23H17N7,Co-32-3e-2a,facet,mixed,Catalysis-Hub,False,1.1596012927548145,3.168855149699084,4.463047836463375,0.7792538569442695,2.0092538569442695,4.0,4.0,48.0,0.0,0.0,4.8125,4.096015594452736,1.0,27.0,2.483541666666667,0.2886786678365564,1.88,3.04,62.208333333333336,14.650026071269938,53.0,152.0,9.4375,6.301144902581858,1.0,15.0,1.6875,0.582961190818051,1.0,4.0,3.1875,1.7871794584390976,1.0,9.0,0.14583333333333334,0.9997829625584856,7.0,1.8958333333333333,2.4344710525195317,-3.0,4.0,-0.0234062500000001,1.0,0.0,1.0,27.0,26.0,4.8125,2.7005208333333335,6.0,58.0,92.0,34.0,82.64583333333333,6.6258680555555545,1.00794,58.933195,57.925255,9.382524479166667,5.9319973394097225,12.0107,14.01,3808.99,1882.8441666666668,1859.3160069444448,3823.0,1.0,15.0,14.0,9.4375,5.994791666666667,14.0,1.0,4.0,3.0,1.6875,0.4869791666666667,2.0,31.0,126.0,95.0,60.375,20.807291666666668,76.0,1.88,3.04,1.1600000000000001,2.483541666666667,0.2259895833333331,2.55,1.0,1.0,1.6458333333333333,0.45746527777777785,2.0,3.0,3.0,1.3958333333333333,1.046875,2.0,7.0,7.0,0.14583333333333334,0.2855902777777778,0.0,0.0,0.0,0.0,1.0,9.0,8.0,3.1875,1.5494791666666667,4.0,1.0,1.0,0.3541666666666667,0.45746527777777773,4.0,4.0,2.3541666666666665,1.7656249999999998,4.0,3.0,3.0,0.0625,0.12239583333333333,1.0,4.0,3.0,2.7708333333333335,1.2543402777777777,4.0,14.76875,9.12875,7.412526041666667,2.2635850694444453,7.853,7.853,5.874333333333333,1.5656666666666663,1.5484712,1.5484712,0.03225981666666667,0.06317547430555555,194.0,194.0,0.0,194.0,0.0
,CoC25H19N4O2|Co-31c-3d-1b-1c|facet,CoC25H19N4O2,Co-31c-3d-1b-1c,facet,mixed,Catalysis-Hub,False,1.28115978671849,3.26138125678699,4.566352379100863,0.7502214700684999,1.9802214700685,5.0,5.0,51.0,0.0392156862745098,1.0,4.705882352941177,4.064644873410651,1.0,27.0,2.4798039215686276,0.31528692314491874,1.88,3.44,61.84313725490196,14.55129203753238,48.0,152.0,9.215686274509803,6.387222924392888,1.0,16.0,1.6666666666666667,0.5829830881301374,1.0,4.0,3.1372549019607843,1.8259524277369124,1.0,9.0,0.13725490196078433,0.9705387192756535,7.0,2.0784313725490198,2.2214916138460463,-3.0,4.0,-0.030676470588235333,0.9607843137254902,0.0,1.0,27.0,26.0,4.705882352941177,2.761245674740485,6.0,58.0,92.0,34.0,83.0,7.019607843137255,1.00794,58.933195,57.925255,9.144650098039216,6.062646739715495,12.0107,14.01,3808.99,1920.9998039215686,1864.7060745866975,3823.0,1.0,16.0,15.0,9.215686274509803,6.129950019223376,14.0,1.0,4.0,3.0,1.6666666666666667,0.4967320261437908,2.0,31.0,126.0,95.0,59.431372549019606,21.184159938485198,76.0,1.88,3.44,1.56,2.4798039215686276,0.2320030757400998,2.55,1.0,1.0,1.6274509803921569,0.46751249519415616,2.0,4.0,4.0,1.3725490196078431,1.0765090349865438,2.0,7.0,7.0,0.13725490196078433,0.2691272587466359,0.0,0.0,0.0,0.0,1.0,9.0,8.0,3.1372549019607843,1.5924644367550942,4.0,1.0,1.0,0.37254901960784315,0.46751249519415616,4.0,4.0,2.2745098039215685,1.8054594386774319,4.0,3.0,3.0,0.058823529411764705,0.11534025374855823,1.0,4.0,3.0,2.7058823529411766,1.3264129181084197,4.0,14.76875,9.12875,6.945392156862745,1.52597078046905,7.853,7.853,5.634411764705882,1.7789619377162627,1.5484712,1.5484712,0.030362180392156865,0.05953368704344483,12.0,194.0,182.0,186.86274509803923,13.714725105728556
,CoC26N4|CoN4C26-Δz=0.0Å-M|001,CoC26N4,CoN4C26-Δz=0.0Å-M,001,mixed,Catalysis-Hub,False,0.9853379299999574,3.2328274099999703,3.8976851999999553,1.017489480000013,2.247489480000013,3.0,3.0,31.0,0.0,0.0,6.806451612903226,3.7019554975341356,6.0,27.0,2.591612903225806,0.2091163709700901,1.88,3.04,68.3225806451613,15.713949210554407,56.0,152.0,13.96774193548387,0.966666068630432,9.0,15.0,2.064516129032258,0.35336939193881683,2.0,4.0,4.290322580645161,0.9226032029725866,4.0,9.0,0.22580645161290322,1.236792871785859,7.0,3.064516129032258,2.3408777492292563,-3.0,4.0,0.01874193548387107,1.0,1.0,6.0,27.0,21.0,6.806451612903226,1.3527575442247661,6.0,58.0,82.0,24.0,77.03225806451613,1.2819979188345467,12.0107,58.933195,46.922495,13.781877258064515,2.9710070135275743,12.0107,63.05,3759.95,3271.5548387096774,925.0047866805411,3823.0,9.0,15.0,6.0,13.96774193548387,0.3204994797086376,14.0,2.0,4.0,2.0,2.064516129032258,0.12486992715920911,2.0,71.0,126.0,55.0,76.96774193548387,3.1633714880332997,76.0,1.88,3.04,1.1600000000000001,2.591612903225806,0.11571279916753377,2.55,2.0,0.0,2.0,0.0,2.0,3.0,3.0,2.064516129032258,0.24141519250780433,2.0,7.0,7.0,0.22580645161290322,0.437044745057232,0.0,0.0,0.0,0.0,4.0,9.0,5.0,4.290322580645161,0.48699271592091553,4.0,0.0,0.0,0.0,0.0,4.0,4.0,3.7419354838709675,0.4328824141519252,4.0,3.0,3.0,0.0967741935483871,0.18730489073881373,3.0,4.0,1.0,3.838709677419355,0.27055150884495305,4.0,14.76875,9.12875,6.966451612903225,2.225015608740895,6.437,6.437,4.6014193548387095,0.47369823100936476,1.5484712,1.5484712,0.049950683870967745,0.09667874297606661,194.0,194.0,0.0,194.0,0.0
,CoC26N4|CoN4C26-Δz=0.2Å-M|001,CoC26N4,CoN4C26-Δz=0.2Å-M,001,mixed,Catalysis-Hub,False,0.6383470199999692,2.7501821899999754,3.54280043,0.8818351700000062,2.111835170000006,3.0,3.0,31.0,0.0,0.0,6.806451612903226,3.7019554975341356,6.0,27.0,2.591612903225806,0.2091163709700901,1.88,3.04,68.3225806451613,15.713949210554407,56.0,152.0,13.96774193548387,0.966666068630432,9.0,15.0,2.064516129032258,0.35336939193881683,2.0,4.0,4.290322580645161,0.9226032029725866,4.0,9.0,0.22580645161290322,1.236792871785859,7.0,3.064516129032258,2.3408777492292563,-3.0,4.0,0.01874193548387107,1.0,1.0,6.0,27.0,21.0,6.806451612903226,1.3527575442247661,6.0,58.0,82.0,24.0,77.03225806451613,1.2819979188345467,12.0107,58.933195,46.922495,13.781877258064515,2.9710070135275743,12.0107,63.05,3759.95,3271.5548387096774,925.0047866805411,3823.0,9.0,15.0,6.0,13.96774193548387,0.3204994797086376,14.0,2.0,4.0,2.0,2.064516129032258,0.12486992715920911,2.0,71.0,126.0,55.0,76.96774193548387,3.1633714880332997,76.0,1.88,3.04,1.1600000000000001,2.591612903225806,0.11571279916753377,2.55,2.0,0.0,2.0,0.0,2.0,3.0,3.0,2.064516129032258,0.24141519250780433,2.0,7.0,7.0,0.22580645161290322,0.437044745057232,0.0,0.0,0.0,0.0,4.0,9.0,5.0,4.290322580645161,0.48699271592091553,4.0,0.0,0.0,0.0,0.0,4.0,4.0,3.7419354838709675,0.4328824141519252,4.0,3.0,3.0,0.0967741935483871,0.18730489073881373,3.0,4.0,1.0,3.838709677419355,0.27055150884495305,4.0,14.76875,9.12875,6.966451612903225,2.225015608740895,6.437,6.437,4.6014193548387095,0.47369823100936476,1.5484712,1.5484712,0.049950683870967745,0.09667874297606661,194.0,194.0,0.0,194.0,0.0
,CoC26N4|CoN4C26-Δz=0.4Å-M|001,CoC26N4,CoN4C26-Δz=0.4Å-M,001,mixed,Catalysis-Hub,False,0.4231054900000117,2.006605480000019,3.3457810900000027,0.3534999900000071,1.583499990000007,3.0,3.0,31.0,0.0,0.0,6.806451612903226,3.7019554975341356,6.0,27.0,2.591612903225806,0.2091163709700901,1.88,3.04,68.3225806451613,15.713949210554407,56.0,152.0,13.96774193548387,0.966666068630432,9.0,15.0,2.064516129032258,0.35336939193881683,2.0,4.0,4.290322580645161,0.9226032029725866,4.0,9.0,0.22580645161290322,1.236792871785859,7.0,3.064516129032258,2.3408777492292563,-3.0,4.0,0.01874193548387107,1.0,1.0,6.0,27.0,21.0,6.806451612903226,1.3527575442247661,6.0,58.0,82.0,24.0,77.03225806451613,1.2819979188345467,12.0107,58.933195,46.922495,13.781877258064515,2.9710070135275743,12.0107,63.05,3759.95,3271.5548387096774,925.0047866805411,3823.0,9.0,15.0,6.0,13.96774193548387,0.3204994797086376,14.0,2.0,4.0,2.0,2.064516129032258,0.12486992715920911,2.0,71.0,126.0,55.0,76.96774193548387,3.1633714880332997,76.0,1.88,3.04,1.1600000000000001,2.591612903225806,0.11571279916753377,2.55,2.0,0.0,2.0,0.0,2.0,3.0,3.0,2.064516129032258,0.24141519250780433,2.0,7.0,7.0,0.22580645161290322,0.437044745057232,0.0,0.0,0.0,0.0,4.0,9.0,5.0,4.290322580645161,0.48699271592091553,4.0,0.0,0.0,0.0,0.0,4.0,4.0,3.7419354838709675,0.4328824141519252,4.0,3.0,3.0,0.0967741935483871,0.18730489073881373,3.0,4.0,1.0,3.838709677419355,0.27055150884495305,4.0,14.76875,9.12875,6.966451612903225,2.225015608740895,6.437,6.437,4.6014193548387095,0.47369823100936476,1.5484712,1.5484712,0.049950683870967745,0.09667874297606661,194.0,194.0,0.0,194.0,0.0
,CoC26N4|CoN4C26-Δz=0.6Å-M|001,CoC26N4,CoN4C26-Δz=0.6Å-M,001,mixed,Catalysis-Hub,False,-0.1035651700000244,1.267518819999964,2.934167830000036,0.7558321699999642,1.3710839899999885,3.0,3.0,31.0,0.0,0.0,6.806451612903226,3.7019554975341356,6.0,27.0,2.591612903225806,0.2091163709700901,1.88,3.04,68.3225806451613,15.713949210554407,56.0,152.0,13.96774193548387,0.966666068630432,9.0,15.0,2.064516129032258,0.35336939193881683,2.0,4.0,4.290322580645161,0.9226032029725866,4.0,9.0,0.22580645161290322,1.236792871785859,7.0,3.064516129032258,2.3408777492292563,-3.0,4.0,0.01874193548387107,1.0,1.0,6.0,27.0,21.0,6.806451612903226,1.3527575442247661,6.0,58.0,82.0,24.0,77.03225806451613,1.2819979188345467,12.0107,58.933195,46.922495,13.781877258064515,2.9710070135275743,12.0107,63.05,3759.95,3271.5548387096774,925.0047866805411,3823.0,9.0,15.0,6.0,13.96774193548387,0.3204994797086376,14.0,2.0,4.0,2.0,2.064516129032258,0.12486992715920911,2.0,71.0,126.0,55.0,76.96774193548387,3.1633714880332997,76.0,1.88,3.04,1.1600000000000001,2.591612903225806,0.11571279916753377,2.55,2.0,0.0,2.0,0.0,2.0,3.0,3.0,2.064516129032258,0.24141519250780433,2.0,7.0,7.0,0.22580645161290322,0.437044745057232,0.0,0.0,0.0,0.0,4.0,9.0,5.0,4.290322580645161,0.48699271592091553,4.0,0.0,0.0,0.0,0.0,4.0,4.0,3.7419354838709675,0.4328824141519252,4.0,3.0,3.0,0.0967741935483871,0.18730489073881373,3.0,4.0,1.0,3.838709677419355,0.27055150884495305,4.0,14.76875,9.12875,6.966451612903225,2.225015608740895,6.437,6.437,4.6014193548387095,0.47369823100936476,1.5484712,1.5484712,0.049950683870967745,0.09667874297606661,194.0,194.0,0.0,194.0,0.0
,CoC26N4|CoN4C26-Δz=0.8Å-M|001,CoC26N4,CoN4C26-Δz=0.8Å-M,001,mixed,Catalysis-Hub,False,-0.2292059700000095,1.1576129500000434,2.8744235599999683,0.8155764400000316,1.386818920000053,3.0,3.0,31.0,0.0,0.0,6.806451612903226,3.7019554975341356,6.0,27.0,2.591612903225806,0.2091163709700901,1.88,3.04,68.3225806451613,15.713949210554407,56.0,152.0,13.96774193548387,0.966666068630432,9.0,15.0,2.064516129032258,0.35336939193881683,2.0,4.0,4.290322580645161,0.9226032029725866,4.0,9.0,0.22580645161290322,1.236792871785859,7.0,3.064516129032258,2.3408777492292563,-3.0,4.0,0.01874193548387107,1.0,1.0,6.0,27.0,21.0,6.806451612903226,1.3527575442247661,6.0,58.0,82.0,24.0,77.03225806451613,1.2819979188345467,12.0107,58.933195,46.922495,13.781877258064515,2.9710070135275743,12.0107,63.05,3759.95,3271.5548387096774,925.0047866805411,3823.0,9.0,15.0,6.0,13.96774193548387,0.3204994797086376,14.0,2.0,4.0,2.0,2.064516129032258,0.12486992715920911,2.0,71.0,126.0,55.0,76.96774193548387,3.1633714880332997,76.0,1.88,3.04,1.1600000000000001,2.591612903225806,0.11571279916753377,2.55,2.0,0.0,2.0,0.0,2.0,3.0,3.0,2.064516129032258,0.24141519250780433,2.0,7.0,7.0,0.22580645161290322,0.437044745057232,0.0,0.0,0.0,0.0,4.0,9.0,5.0,4.290322580645161,0.48699271592091553,4.0,0.0,0.0,0.0,0.0,4.0,4.0,3.7419354838709675,0.4328824141519252,4.0,3.0,3.0,0.0967741935483871,0.18730489073881373,3.0,4.0,1.0,3.838709677419355,0.27055150884495305,4.0,14.76875,9.12875,6.966451612903225,2.225015608740895,6.437,6.437,4.6014193548387095,0.47369823100936476,1.5484712,1.5484712,0.049950683870967745,0.09667874297606661,194.0,194.0,0.0,194.0,0.0
,CoC26N4|CoN4C26-Δz=1.2Å-M|001,CoC26N4,CoN4C26-Δz=1.2Å-M,001,mixed,Catalysis-Hub,False,-0.8778067300000316,0.6709836900000141,2.275675129999968,1.4143248700000322,1.5487904200000457,3.0,3.0,31.0,0.0,0.0,6.806451612903226,3.7019554975341356,6.0,27.0,2.591612903225806,0.2091163709700901,1.88,3.04,68.3225806451613,15.713949210554407,56.0,152.0,13.96774193548387,0.966666068630432,9.0,15.0,2.064516129032258,0.35336939193881683,2.0,4.0,4.290322580645161,0.9226032029725866,4.0,9.0,0.22580645161290322,1.236792871785859,7.0,3.064516129032258,2.3408777492292563,-3.0,4.0,0.01874193548387107,1.0,1.0,6.0,27.0,21.0,6.806451612903226,1.3527575442247661,6.0,58.0,82.0,24.0,77.03225806451613,1.2819979188345467,12.0107,58.933195,46.922495,13.781877258064515,2.9710070135275743,12.0107,63.05,3759.95,3271.5548387096774,925.0047866805411,3823.0,9.0,15.0,6.0,13.96774193548387,0.3204994797086376,14.0,2.0,4.0,2.0,2.064516129032258,0.12486992715920911,2.0,71.0,126.0,55.0,76.96774193548387,3.1633714880332997,76.0,1.88,3.04,1.1600000000000001,2.591612903225806,0.11571279916753377,2.55,2.0,0.0,2.0,0.0,2.0,3.0,3.0,2.064516129032258,0.24141519250780433,2.0,7.0,7.0,0.22580645161290322,0.437044745057232,0.0,0.0,0.0,0.0,4.0,9.0,5.0,4.290322580645161,0.48699271592091553,4.0,0.0,0.0,0.0,0.0,4.0,4.0,3.7419354838709675,0.4328824141519252,4.0,3.0,3.0,0.0967741935483871,0.18730489073881373,3.0,4.0,1.0,3.838709677419355,0.27055150884495305,4.0,14.76875,9.12875,6.966451612903225,2.225015608740895,6.437,6.437,4.6014193548387095,0.47369823100936476,1.5484712,1.5484712,0.049950683870967745,0.09667874297606661,194.0,194.0,0.0,194.0,0.0
