source_id,candidate_id,formula,surface,facet,reaction,adsorbate,site,reaction_energy,source,fallback_used
UmVhY3Rpb246NDc0OTIx,CrMo26B54|MoB2-Cr-B00|001,CrMo26B54,MoB2-Cr-B00,001,OH(g) + * -> OH*,OH,site8,-4.653898920000074,Catalysis-Hub,False
UmVhY3Rpb246NDc0OTIy,CrMo26B54|MoB2-Cr-B00|001,CrMo26B54,MoB2-Cr-B00,001,OH(g) + * -> OH*,OH,site1,-4.713130620000015,Catalysis-Hub,False
UmVhY3Rpb246NDc0OTIz,CrMo26B54|MoB2-Cr-B00|001,CrMo26B54,MoB2-Cr-B00,001,OH(g) + * -> OH*,OH,site6,-4.668930980000027,Catalysis-Hub,False
UmVhY3Rpb246NDc0OTI4,CrMo26B54|MoB2-Cr-B00|001,CrMo26B54,MoB2-Cr-B00,001,OH(g) + * -> OH*,OH,site7,-4.654353330000049,Catalysis-Hub,False
UmVhY3Rpb246NDc0OTI5,CrMo26B54|MoB2-Cr-B00|001,CrMo26B54,MoB2-Cr-B00,001,OH(g) + * -> OH*,OH,site9,-4.6536352199999556,Catalysis-Hub,False
UmVhY3Rpb246NDc0OTU5,CrMo26B54|MoB2-Cr-B00|001,CrMo26B54,MoB2-Cr-B00,001,OH(g) + * -> OH*,OH,site29,-4.03934262000007,Catalysis-Hub,False
UmVhY3Rpb246NDc0OTYw,CrMo26B54|MoB2-Cr-B00|001,CrMo26B54,MoB2-Cr-B00,001,OH(g) + * -> OH*,OH,site16,-4.292967339999905,Catalysis-Hub,False
UmVhY3Rpb246NDc0OTYz,CrMo26B54|MoB2-Cr-B00|001,CrMo26B54,MoB2-Cr-B00,001,OH(g) + * -> OH*,OH,site11,-4.499567650000017,Catalysis-Hub,False
UmVhY3Rpb246NDc0OTY0,CrMo26B54|MoB2-Cr-B00|001,CrMo26B54,MoB2-Cr-B00,001,OH(g) + * -> OH*,OH,site18,-4.2902288200000385,Catalysis-Hub,False
UmVhY3Rpb246NDc0OTY1,CrMo26B54|MoB2-Cr-B00|001,CrMo26B54,MoB2-Cr-B00,001,OH(g) + * -> OH*,OH,site27,-4.116892539999981,Catalysis-Hub,False
UmVhY3Rpb246NDc0OTY2,CrMo26B54|MoB2-Cr-B00|001,CrMo26B54,MoB2-Cr-B00,001,OH(g) + * -> OH*,OH,site20,-4.242701019999913,Catalysis-Hub,False
UmVhY3Rpb246NDc0OTY5,CrMo26B54|MoB2-Cr-B00|001,CrMo26B54,MoB2-Cr-B00,001,OH(g) + * -> OH*,OH,site21,-4.2426150300000245,Catalysis-Hub,False
UmVhY3Rpb246NDc0OTcw,CrMo26B54|MoB2-Cr-B00|001,CrMo26B54,MoB2-Cr-B00,001,OH(g) + * -> OH*,OH,site19,-4.286037410000063,Catalysis-Hub,False
UmVhY3Rpb246NDc0OTcx,CrMo26B54|MoB2-Cr-B00|001,CrMo26B54,MoB2-Cr-B00,001,OH(g) + * -> OH*,OH,site26,-4.133473239999944,Catalysis-Hub,False
UmVhY3Rpb246NDc0OTcy,CrMo26B54|MoB2-Cr-B00|001,CrMo26B54,MoB2-Cr-B00,001,OH(g) + * -> OH*,OH,site10,-4.5245846599999595,Catalysis-Hub,False
UmVhY3Rpb246NDc0OTc0,CrMo26B54|MoB2-Cr-B00|001,CrMo26B54,MoB2-Cr-B00,001,OH(g) + * -> OH*,OH,site28,-4.068670559999987,Catalysis-Hub,False
UmVhY3Rpb246NDc0OTc2,CrMo26B54|MoB2-Cr-B00|001,CrMo26B54,MoB2-Cr-B00,001,OH(g) + * -> OH*,OH,site17,-4.2908528799999885,Catalysis-Hub,False
UmVhY3Rpb246NDc0OTk2,CrMo26B54|MoB2-Cr-B00|001,CrMo26B54,MoB2-Cr-B00,001,OH(g) + * -> OH*,OH,site5,-4.669065459999956,Catalysis-Hub,False
