rank,candidate_id,formula,surface,facet,site,pred_dg_h,case_dir,structure_source,surface_formula_used_for_prototype,clean_atoms,h_ads_atoms,E_clean_eV,E_H_ads_eV,E_H2_eV,dE_H_eV,free_energy_correction_eV,dG_H_eV
1,"B10Zn7|Au3Ru|111|{""H"": ""hollow|A_A_B|HCP""}",B10Zn7,Au3Ru,111,hollow|A_A_B|HCP,0.0248562063457442,/home/musineko/ML_project_screening/dft_runs_uncertainty_top10/rank_01_B10Zn7_Au3Ru,prototype_from_surface_composition,Au3Ru,144,145,-568.54101214,-571.89779508,-6.75884249,0.02263830499998365,0.24,0.26263830499998364
2,"B9CrGaPd|MoB2-Re-B01|001|{""H"": ""site6""}",B9CrGaPd,MoB2-Re-B01,1,site6,-0.0212623106699936,/home/musineko/ML_project_screening/dft_runs_uncertainty_top10/rank_02_B9CrGaPd_MoB2-Re-B01,prototype_from_surface_composition,MoB2Re,144,145,-31749.01279201,,-6.75884249,,0.24,
3,"Cu2GaMo|Pd3Zr|111|{""H"": ""top|B""}",Cu2GaMo,Pd3Zr,111,top|B,0.0958391116805094,/home/musineko/ML_project_screening/dft_runs_uncertainty_top10/rank_03_Cu2GaMo_Pd3Zr,prototype_from_surface_composition,Pd3Zr,144,145,,,-6.75884249,,0.24,
4,"B15PdRe|MoB2-Ru-B02|001|{""H"": ""site6""}",B15PdRe,MoB2-Ru-B02,1,site6,0.0419759068700114,/home/musineko/ML_project_screening/dft_runs_uncertainty_top10/rank_04_B15PdRe_MoB2-Ru-B02,prototype_from_surface_composition,MoB2Ru,144,145,,,-6.75884249,,0.24,
5,"B11Pd|MoB2-Zr-B03|001|{""H"": ""site6""}",B11Pd,MoB2-Zr-B03,1,site6,0.048037073140801,/home/musineko/ML_project_screening/dft_runs_uncertainty_top10/rank_05_B11Pd_MoB2-Zr-B03,prototype_from_surface_composition,MoB2Zr,144,145,,,-6.75884249,,0.24,
6,"B5Mo2|In3Zn|111|{""H"": ""hollow|A_A_A|FCC""}",B5Mo2,In3Zn,111,hollow|A_A_A|FCC,0.029497554832853,/home/musineko/ML_project_screening/dft_runs_uncertainty_top10/rank_06_B5Mo2_In3Zn,prototype_from_surface_composition,In3Zn,144,145,,,-6.75884249,,0.24,
7,"BPd2|Ru3Bi|111|{""H"": ""hollow|A_A_A|FCC""}",BPd2,Ru3Bi,111,hollow|A_A_A|FCC,-0.1668193997161267,/home/musineko/ML_project_screening/dft_runs_uncertainty_top10/rank_07_BPd2_Ru3Bi,prototype_from_surface_composition,Ru3Bi,144,145,,,-6.75884249,,0.24,
8,"B7HPd|Au3Ru|111|{""H"": ""hollow|A_A_A|FCC""}",B7HPd,Au3Ru,111,hollow|A_A_A|FCC,0.0238231627959472,/home/musineko/ML_project_screening/dft_runs_uncertainty_top10/rank_08_B7HPd_Au3Ru,prototype_from_surface_composition,Au3Ru,144,145,,,-6.75884249,,0.24,
9,"Ga4Pt6Ti5Y3|MoRe|101|{""H"": ""hollow|A_A_B|FCC""}",Ga4Pt6Ti5Y3,MoRe,101,hollow|A_A_B|FCC,-0.117207345695683,/home/musineko/ML_project_screening/dft_runs_uncertainty_top10/rank_09_Ga4Pt6Ti5Y3_MoRe,prototype_from_surface_composition,MoRe,144,145,,,-6.75884249,,0.24,
10,"B2GaY|MoB2-W-B02|001|{""H"": ""site6""}",B2GaY,MoB2-W-B02,1,site6,-0.1016694104397771,/home/musineko/ML_project_screening/dft_runs_uncertainty_top10/rank_10_B2GaY_MoB2-W-B02,prototype_from_surface_composition,MoB2W,144,145,,,-6.75884249,,0.24,
