fold,model,mae,rmse,r2
1,RandomForest,0.182303612701255,0.34825334447149575,0.7087648451447299
1,ExtraTrees,0.16917317821417938,0.33388052525539424,0.7323080066786639
1,XGBoost,0.2176242296738627,0.37279112923610647,0.666278378889491
1,Ensemble_ET_RF_XGB,0.18334680820094404,0.34015977773136336,0.7221444195127888
2,RandomForest,0.18415562773119137,0.36940421024053666,0.6940749602665794
2,ExtraTrees,0.17159606776095235,0.3546159284360815,0.718078744117241
2,XGBoost,0.2218061748366123,0.3871311438798263,0.6640090615406296
2,Ensemble_ET_RF_XGB,0.18691099025802022,0.36024374208864607,0.709059464555414
3,RandomForest,0.17416378906724808,0.3474433743063827,0.6994811486001569
3,ExtraTrees,0.16238193081421498,0.3377587895270366,0.7160008952674133
3,XGBoost,0.21822330194141515,0.3729457513932258,0.6537458558287861
3,Ensemble_ET_RF_XGB,0.17798814072277516,0.34115437565573137,0.7102619427288215
4,RandomForest,0.18094966679769156,0.35747369660185563,0.7028330715995592
4,ExtraTrees,0.16773572526715103,0.34710435651604016,0.7198230380871615
4,XGBoost,0.21864608168344862,0.3775889752369071,0.66844857153853
4,Ensemble_ET_RF_XGB,0.1819402471676807,0.35014196222337113,0.7148977694534179
5,RandomForest,0.17837007645647124,0.3749746299670589,0.6833794344420829
5,ExtraTrees,0.1698444776082478,0.36963432965417875,0.6923336859317905
5,XGBoost,0.21909763710412858,0.3988885133892618,0.6417069281612514
5,Ensemble_ET_RF_XGB,0.18213769266433802,0.3715278126928213,0.6891735191983763
