kind,candidate_id,formula,surface,site,PC1,PC2,dG_H,pred_dG_H,pred_sigma,near_zero_rank,priority_rank,dft_converged
train,Ag12In4|Ag3In-fcc|111,Ag12In4,Ag3In-fcc,ontopB,-7.116138841668117,-2.98831685845218,0.8167310469325457,,,,,False
train,Ag12In4|Ag3In-fcc|111+2%,Ag12In4,Ag3In-fcc,fccAAA,-7.539707364675308,-3.2356152238088365,0.1990677358662651,,,,,False
train,Ag12In4|Ag3In-fcc|111+2%,Ag12In4,Ag3In-fcc,ontopB,-7.227466123837067,-3.049234735224879,0.7424645135724859,,,,,False
train,Ag12In4|Ag3In-fcc|111+5%,Ag12In4,Ag3In-fcc,fccAAA,-7.706698287928733,-3.3269920389678855,0.2068301912804599,,,,,False
train,Ag12In4|Ag3In-fcc|111+5%,Ag12In4,Ag3In-fcc,hcpAAA,-7.7012056341790505,-3.3211541010248316,0.1856209584111638,,,,,False
train,Ag12In4|Ag3In-fcc|111+5%,Ag12In4,Ag3In-fcc,hcpAAB,-7.7012056341790505,-3.3211541010248316,0.2953692315350054,,,,,False
train,Ag12In4|Ag3In-fcc|111-2%,Ag12In4,Ag3In-fcc,hcpAAB,-7.5342147109256254,-3.2297772858657825,0.4590359093890583,,,,,False
train,Ag12Mg4|Ag3Mg-fcc|111,Ag12Mg4,Ag3Mg-fcc,fccAAA,-2.0599693865981155,-5.444274755924632,0.0367482936308078,,,,,False
train,Ag12Mg4|Ag3Mg-fcc|111,Ag12Mg4,Ag3Mg-fcc,fccAAB,-2.0599693865981155,-5.444274755924632,0.0613201732594461,,,,,False
train,Ag12Mg4|Ag3Mg-fcc|111,Ag12Mg4,Ag3Mg-fcc,ontopB,-1.7477281457598743,-5.257894267340673,0.9561485721642384,,,,,False
train,Ag12Mg4|Ag3Mg-fcc|111+3%,Ag12Mg4,Ag3Mg-fcc,hcpAAB,-2.2214676561018596,-5.529813633140627,0.0468501117175037,,,,,False
train,Ag12Mg4|Ag3Mg-fcc|111+5%,Ag12Mg4,Ag3Mg-fcc,hcpAAB,-2.3327949382708093,-5.590731509913327,0.0712657980002404,,,,,False
train,Ag12Mg4|Ag3Mg-fcc|111-3%,Ag12Mg4,Ag3Mg-fcc,hcpAAB,-2.2214676561018596,-5.529813633140627,0.0742737443724763,,,,,False
train,Ag12Mg4|Ag3Mg-fcc|111-5%,Ag12Mg4,Ag3Mg-fcc,hcpAAB,-2.3327949382708093,-5.590731509913327,0.1483492538172868,,,,,False
train,Ag12|Ag|111,Ag12,Ag,hollow,-10.212468873339507,-2.8061295640457025,0.3381553230438214,,,,,False
train,Ag12|Ag|111,Ag12,Ag,hollow|A_A_A|HCP,-10.854827043232008,-3.34201166585048,0.3553474753435068,,,,,False
train,Ag16|Ag-fcc|111,Ag16,Ag-fcc,ontop,-9.99482483456421,-2.677597087462479,0.7316013209601806,,,,,False
train,Ag16|Ag-fcc|111+2%,Ag16,Ag-fcc,fcc,-10.418393357571398,-2.9248954528191353,0.1068788326920184,,,,,False
train,Ag16|Ag-fcc|111+5%,Ag16,Ag-fcc,fcc,-10.585384280824824,-3.0162722679781844,0.0594372815467068,,,,,False
train,Ag16|Ag-fcc|111+8%,Ag16,Ag-fcc,fcc,-10.752375204078254,-3.107649083137233,0.0126240412610059,,,,,False
train,Ag16|Ag-fcc|111-5%,Ag16,Ag-fcc,fcc,-10.585384280824824,-3.0162722679781844,-0.0710788557917112,,,,,False
train,Ag16|Ag|111,Ag16,Ag,bridge,-10.060529860718626,-2.749181702272987,0.3862834735835,,,,,False
train,Ag16|Ag|111,Ag16,Ag,fcc,-10.307066075402448,-2.8639775760464365,0.343795794025,,,,,False
train,Ag24Cu6|Cu-Ag|111,Ag24Cu6,Cu-Ag,nan,-7.618710125831834,3.7280697893202093,-0.1365621726581594,,,,,False
