candidate_id,chemicalComposition,surfaceComposition,facet,sites,candidate_key,is_novel,formula,surface,normalized_facet,site,pred_dG_H_ExtraTrees,pred_dG_H_sigma_ExtraTrees,pred_dG_H_RandomForest,pred_dG_H_sigma_RandomForest,pred_dG_H_XGBoost,pred_dG_H_sigma_XGBoost,pred_dG_H_mu,pred_dG_H_sigma,pred_dG_H_model_sigma,pred_dG_H_within_model_sigma,abs_pred_dG_H,priority_score,uncertainty_weight,models,feature_mode,n_train_samples,n_features
"BPdZn2|MoB2-Fe-B01|001|{""H"": ""site5""}",BPdZn2,MoB2-Fe-B01,1,"{""H"": ""site5""}","BPdZn2|MoB2-Fe-B01|001|{""H"": ""site5""}",True,BPdZn2,MoB2-Fe-B01,001,site5,-0.1171408949212384,0.5094899693215703,-0.0021518280316865108,0.37530362242737597,0.1202610582113266,0.0,0.0003227784194672299,0.3779867136278803,0.09693473610495265,0.3653458807971815,0.0003227784194672299,0.18931613523340737,0.5,ExtraTrees+RandomForest+XGBoost,matminer_magpie_plus_handcrafted_surface_site,9481,280
"InMoSnW|Ga3Al|111|{""H"": ""hollow|A_A_A|FCC""}",InMoSnW,Ga3Al,111,"{""H"": ""hollow|A_A_A|FCC""}","InMoSnW|Ga3Al|111|{""H"": ""hollow|A_A_A|FCC""}",True,InMoSnW,Ga3Al,111,hollow|A_A_A|FCC,0.11169082665537802,0.5914791338993672,-0.01358463493485884,0.5677677629107232,-0.054074566811323166,0.0,0.014677208303065339,0.47858993545253514,0.07056245581136528,0.473359552714774,0.014677208303065339,0.2539721760293329,0.5,ExtraTrees+RandomForest+XGBoost,matminer_magpie_plus_handcrafted_surface_site,9481,280
"B15PdRe|MoB2-Ru-B02|001|{""H"": ""site6""}",B15PdRe,MoB2-Ru-B02,1,"{""H"": ""site6""}","B15PdRe|MoB2-Ru-B02|001|{""H"": ""site6""}",True,B15PdRe,MoB2-Ru-B02,001,site6,0.04197590687001146,0.5694972502377043,0.17430817925887004,0.7101685253417303,-0.06418147683143616,0.0,0.050700869765815115,0.5345463178907542,0.09755826549185191,0.5255684073503512,0.050700869765815115,0.31797402871119224,0.5,ExtraTrees+RandomForest+XGBoost,matminer_magpie_plus_handcrafted_surface_site,9481,280
"B11Pd|MoB2-Zr-B03|001|{""H"": ""site6""}",B11Pd,MoB2-Zr-B03,1,"{""H"": ""site6""}","B11Pd|MoB2-Zr-B03|001|{""H"": ""site6""}",True,B11Pd,MoB2-Zr-B03,001,site6,0.04803707314080107,0.578735827004272,-0.0016126472299783578,0.6591964162918803,-0.2092507779598236,0.0,-0.0542754506830003,0.5185665010949777,0.11144292330349505,0.5064500872775706,0.0542754506830003,0.3135587012304891,0.5,ExtraTrees+RandomForest+XGBoost,matminer_magpie_plus_handcrafted_surface_site,9481,280
"InMo|Ga3Al|111|{""H"": ""hollow|A_A_A|FCC""}",InMo,Ga3Al,111,"{""H"": ""hollow|A_A_A|FCC""}","InMo|Ga3Al|111|{""H"": ""hollow|A_A_A|FCC""}",True,InMo,Ga3Al,111,hollow|A_A_A|FCC,0.12143056673936144,0.539262832743762,0.03302806235497505,0.5678143210196303,0.021855944767594337,0.0,0.05877152462064361,0.45430134909857517,0.044540773247838186,0.45211263564655,0.05877152462064361,0.2859221991699312,0.5,ExtraTrees+RandomForest+XGBoost,matminer_magpie_plus_handcrafted_surface_site,9481,280
"MoPb|MoB2-Re-B02|001|{""H"": ""site7""}",MoPb,MoB2-Re-B02,1,"{""H"": ""site7""}","MoPb|MoB2-Re-B02|001|{""H"": ""site7""}",True,MoPb,MoB2-Re-B02,001,site7,-0.24016189033634344,0.5829887966433822,0.021892208950049622,0.7668596279386853,0.04102204740047455,0.0,-0.05908254466193976,0.5707647488175646,0.12828038237181208,0.5561623342076657,0.05908254466193976,0.344464919070722,0.5,ExtraTrees+RandomForest+XGBoost,matminer_magpie_plus_handcrafted_surface_site,9481,280
"B5CuH2|MoB2-Fe-B00|001|{""H"": ""site6""}",B5CuH2,MoB2-Fe-B00,1,"{""H"": ""site6""}","B5CuH2|MoB2-Fe-B00|001|{""H"": ""site6""}",True,B5CuH2,MoB2-Fe-B00,001,site6,-0.05850903494569128,0.6725894403428299,0.039545857808598504,0.8324581927506018,0.20199209451675415,0.0,0.06100963912655379,0.6271588469775372,0.10742665728812748,0.6178897414960804,0.06100963912655379,0.3745890626153224,0.5,ExtraTrees+RandomForest+XGBoost,matminer_magpie_plus_handcrafted_surface_site,9481,280
"B9FeH2|AlGa|101|{""H"": ""bridge|A_A|B""}",B9FeH2,AlGa,101,"{""H"": ""bridge|A_A|B""}","B9FeH2|AlGa|101|{""H"": ""bridge|A_A|B""}",True,B9FeH2,AlGa,101,bridge|A_A|B,-0.10906018451108408,0.6848035294547209,-0.10858325875924386,0.7144952665230871,0.023597102612257004,0.0,-0.06468211355269031,0.5747896147219644,0.06242313603980666,0.5713899310271228,0.06468211355269031,0.35207692091367254,0.5,ExtraTrees+RandomForest+XGBoost,matminer_magpie_plus_handcrafted_surface_site,9481,280
"B14H3Ti|Al3W|111|{""H"": ""hollow|A_A_A|HCP""}",B14H3Ti,Al3W,111,"{""H"": ""hollow|A_A_A|HCP""}","B14H3Ti|Al3W|111|{""H"": ""hollow|A_A_A|HCP""}",True,B14H3Ti,Al3W,111,hollow|A_A_A|HCP,-0.08289104725072512,0.7923364041522749,-0.05990289678497015,0.7529547550955719,-0.07863161712884903,0.0,-0.07380852038818143,0.6311463014468628,0.009985337987483661,0.6310673077060243,0.07380852038818143,0.3893816711116128,0.5,ExtraTrees+RandomForest+XGBoost,matminer_magpie_plus_handcrafted_surface_site,9481,280
"Mo4Pb5Pt4W5|MoB2-Fe-B02|001|{""H"": ""site8""}",Mo4Pb5Pt4W5,MoB2-Fe-B02,1,"{""H"": ""site8""}","Mo4Pb5Pt4W5|MoB2-Fe-B02|001|{""H"": ""site8""}",True,Mo4Pb5Pt4W5,MoB2-Fe-B02,001,site8,-0.2227494329436355,0.5879636622270821,-0.06339510188537463,0.8108430372215241,0.0623420886695385,0.0,-0.07460081538649055,0.5899137335183197,0.11665753279073046,0.5782639821367943,0.07460081538649055,0.3695576821456504,0.5,ExtraTrees+RandomForest+XGBoost,matminer_magpie_plus_handcrafted_surface_site,9481,280
