candidate_id,chemicalComposition,surfaceComposition,facet,sites,candidate_key,is_novel,formula,surface,normalized_facet,site,pred_dG_H_ExtraTrees,pred_dG_H_sigma_ExtraTrees,pred_dG_H_mu,pred_dG_H_sigma,pred_dG_H_model_sigma,pred_dG_H_within_model_sigma,abs_pred_dG_H,priority_score,uncertainty_weight,models,feature_mode,n_train_samples,n_features
"B10Zn7|Au3Ru|111|{""H"": ""hollow|A_A_B|HCP""}",B10Zn7,Au3Ru,111,"{""H"": ""hollow|A_A_B|HCP""}","B10Zn7|Au3Ru|111|{""H"": ""hollow|A_A_B|HCP""}",True,B10Zn7,Au3Ru,111,hollow|A_A_B|HCP,0.02485620634574424,0.5427447066317622,0.02485620634574424,0.5427447066317622,0.0,0.5427447066317622,0.02485620634574424,0.29622855966162537,0.5,ExtraTrees,matminer_magpie_plus_handcrafted_surface_site,9481,280
"B9CrGaPd|MoB2-Re-B01|001|{""H"": ""site6""}",B9CrGaPd,MoB2-Re-B01,1,"{""H"": ""site6""}","B9CrGaPd|MoB2-Re-B01|001|{""H"": ""site6""}",True,B9CrGaPd,MoB2-Re-B01,001,site6,-0.02126231066999369,0.5669464370080676,-0.02126231066999369,0.5669464370080676,0.0,0.5669464370080676,0.02126231066999369,0.30473552917402746,0.5,ExtraTrees,matminer_magpie_plus_handcrafted_surface_site,9481,280
"Cu2GaMo|Pd3Zr|111|{""H"": ""top|B""}",Cu2GaMo,Pd3Zr,111,"{""H"": ""top|B""}","Cu2GaMo|Pd3Zr|111|{""H"": ""top|B""}",True,Cu2GaMo,Pd3Zr,111,top|B,0.09583911168050946,0.43155860545532115,0.09583911168050946,0.43155860545532115,0.0,0.43155860545532115,0.09583911168050946,0.31161841440817006,0.5,ExtraTrees,matminer_magpie_plus_handcrafted_surface_site,9481,280
"B15PdRe|MoB2-Ru-B02|001|{""H"": ""site6""}",B15PdRe,MoB2-Ru-B02,1,"{""H"": ""site6""}","B15PdRe|MoB2-Ru-B02|001|{""H"": ""site6""}",True,B15PdRe,MoB2-Ru-B02,001,site6,0.04197590687001146,0.5694972502377043,0.04197590687001146,0.5694972502377043,0.0,0.5694972502377043,0.04197590687001146,0.3267245319888636,0.5,ExtraTrees,matminer_magpie_plus_handcrafted_surface_site,9481,280
"B11Pd|MoB2-Zr-B03|001|{""H"": ""site6""}",B11Pd,MoB2-Zr-B03,1,"{""H"": ""site6""}","B11Pd|MoB2-Zr-B03|001|{""H"": ""site6""}",True,B11Pd,MoB2-Zr-B03,001,site6,0.04803707314080107,0.578735827004272,0.04803707314080107,0.578735827004272,0.0,0.578735827004272,0.04803707314080107,0.33740498664293705,0.5,ExtraTrees,matminer_magpie_plus_handcrafted_surface_site,9481,280
"B5Mo2|In3Zn|111|{""H"": ""hollow|A_A_A|FCC""}",B5Mo2,In3Zn,111,"{""H"": ""hollow|A_A_A|FCC""}","B5Mo2|In3Zn|111|{""H"": ""hollow|A_A_A|FCC""}",True,B5Mo2,In3Zn,111,hollow|A_A_A|FCC,0.029497554832853,0.624667933076145,0.029497554832853,0.624667933076145,0.0,0.624667933076145,0.029497554832853,0.3418315213709255,0.5,ExtraTrees,matminer_magpie_plus_handcrafted_surface_site,9481,280
"BPd2|Ru3Bi|111|{""H"": ""hollow|A_A_A|FCC""}",BPd2,Ru3Bi,111,"{""H"": ""hollow|A_A_A|FCC""}","BPd2|Ru3Bi|111|{""H"": ""hollow|A_A_A|FCC""}",True,BPd2,Ru3Bi,111,hollow|A_A_A|FCC,-0.16681939971612672,0.3574182826606823,-0.16681939971612672,0.3574182826606823,0.0,0.3574182826606823,0.16681939971612672,0.3455285410464679,0.5,ExtraTrees,matminer_magpie_plus_handcrafted_surface_site,9481,280
"B7HPd|Au3Ru|111|{""H"": ""hollow|A_A_A|FCC""}",B7HPd,Au3Ru,111,"{""H"": ""hollow|A_A_A|FCC""}","B7HPd|Au3Ru|111|{""H"": ""hollow|A_A_A|FCC""}",True,B7HPd,Au3Ru,111,hollow|A_A_A|FCC,0.02382316279594727,0.6487784006169748,0.02382316279594727,0.6487784006169748,0.0,0.6487784006169748,0.02382316279594727,0.34821236310443465,0.5,ExtraTrees,matminer_magpie_plus_handcrafted_surface_site,9481,280
"Ga4Pt6Ti5Y3|MoRe|101|{""H"": ""hollow|A_A_B|FCC""}",Ga4Pt6Ti5Y3,MoRe,101,"{""H"": ""hollow|A_A_B|FCC""}","Ga4Pt6Ti5Y3|MoRe|101|{""H"": ""hollow|A_A_B|FCC""}",True,Ga4Pt6Ti5Y3,MoRe,101,hollow|A_A_B|FCC,-0.11720734569568307,0.46244868753824464,-0.11720734569568307,0.46244868753824464,0.0,0.46244868753824464,0.11720734569568307,0.3484316894648054,0.5,ExtraTrees,matminer_magpie_plus_handcrafted_surface_site,9481,280
"B2GaY|MoB2-W-B02|001|{""H"": ""site6""}",B2GaY,MoB2-W-B02,1,"{""H"": ""site6""}","B2GaY|MoB2-W-B02|001|{""H"": ""site6""}",True,B2GaY,MoB2-W-B02,001,site6,-0.10166941043977719,0.5001369251921008,-0.10166941043977719,0.5001369251921008,0.0,0.5001369251921008,0.10166941043977719,0.3517378730358276,0.5,ExtraTrees,matminer_magpie_plus_handcrafted_surface_site,9481,280
