rank,query_type,query_term,keyword,crossref_total,top_year,top_title,top_doi
1,formula,C8Ga9,hydrogen adsorption,737292,1965.0,Co-adsorption of hydrogen and potassium on tungsten. Adsorption of hydrogen on potassium,10.1016/0042-207x(65)92189-5
1,formula,C8Ga9,H adsorption,235198,1996.0,Upcoming adsorption meetings,10.1007/bf00127048
1,formula,C8Ga9,HER,66595,,HER Communication,10.21428/aab485b1
1,formula,C8Ga9,Delta G_H,109839,1991.0,Exact results for the nonlinear diffusion equations delta u/ delta t= delta / delta x(u<sup>-4/3</sup>delta u/ delta x) and delta u/ delta t- delta / delta x(u<sup>-2/3</sup>delta u/ delta x),10.1088/0305-4470/24/24/009
1,surface,MoB2-Ru-B01,hydrogen adsorption,797379,,Constructing Transition Metal Single-Atom-Modified MoB2: Extraordinary Electrocatalytic Hydrogen Evolution and Mechanism Investigation,10.1021/acsenergylett.3c02100.s001
1,surface,MoB2-Ru-B01,H adsorption,298070,,Adsorption and Hydrogenation of Acrolein on Ru(001),10.1021/acs.jpcc.6b12678.s001
1,surface,MoB2-Ru-B01,HER,130119,2025.0,Revisiting the activity of Ru-hcp(001) and Ru-fcc(111) for alkaline HER: a DFT study,10.2139/ssrn.5640113
1,surface,MoB2-Ru-B01,Delta G_H,173432,,"DIN EN ISO 105-B01:2014-12, Textilien_- Farbechtheitsprüfungen_- Teil_B01: Farbechtheit gegen Licht: Tageslicht (ISO_105-B01:2014); Deutsche Fassung EN_ISO_105-B01:2014",10.31030/2248427
1,formula_surface,C8Ga9 MoB2-Ru-B01,hydrogen adsorption,797379,,Constructing Transition Metal Single-Atom-Modified MoB2: Extraordinary Electrocatalytic Hydrogen Evolution and Mechanism Investigation,10.1021/acsenergylett.3c02100.s001
1,formula_surface,C8Ga9 MoB2-Ru-B01,H adsorption,298070,,Adsorption and Hydrogenation of Acrolein on Ru(001),10.1021/acs.jpcc.6b12678.s001
1,formula_surface,C8Ga9 MoB2-Ru-B01,HER,130119,2025.0,Revisiting the activity of Ru-hcp(001) and Ru-fcc(111) for alkaline HER: a DFT study,10.2139/ssrn.5640113
1,formula_surface,C8Ga9 MoB2-Ru-B01,Delta G_H,173432,,"DIN EN ISO 105-B01:2014-12, Textilien_- Farbechtheitsprüfungen_- Teil_B01: Farbechtheit gegen Licht: Tageslicht (ISO_105-B01:2014); Deutsche Fassung EN_ISO_105-B01:2014",10.31030/2248427
2,formula,BPdZn2,hydrogen adsorption,737292,1965.0,Co-adsorption of hydrogen and potassium on tungsten. Adsorption of hydrogen on potassium,10.1016/0042-207x(65)92189-5
2,formula,BPdZn2,H adsorption,235198,1974.0,5. Experimentelle Probleme der Adsorption,10.1515/9783110842395.111
2,formula,BPdZn2,HER,66595,,HER Communication,10.21428/aab485b1
2,formula,BPdZn2,Delta G_H,109839,1991.0,Exact results for the nonlinear diffusion equations delta u/ delta t= delta / delta x(u<sup>-4/3</sup>delta u/ delta x) and delta u/ delta t- delta / delta x(u<sup>-2/3</sup>delta u/ delta x),10.1088/0305-4470/24/24/009
2,surface,MoB2-Fe-B01,hydrogen adsorption,998699,,Constructing Transition Metal Single-Atom-Modified MoB2: Extraordinary Electrocatalytic Hydrogen Evolution and Mechanism Investigation,10.1021/acsenergylett.3c02100.s001
2,surface,MoB2-Fe-B01,H adsorption,501596,,"DIN EN ISO 105-B01:2014-12, Textilien_- Farbechtheitsprüfungen_- Teil_B01: Farbechtheit gegen Licht: Tageslicht (ISO_105-B01:2014); Deutsche Fassung EN_ISO_105-B01:2014",10.31030/2248427
2,surface,MoB2-Fe-B01,HER,336833,,"DIN EN ISO 105-B01:2014-12, Textilien_- Farbechtheitsprüfungen_- Teil_B01: Farbechtheit gegen Licht: Tageslicht (ISO_105-B01:2014); Deutsche Fassung EN_ISO_105-B01:2014",10.31030/2248427
2,surface,MoB2-Fe-B01,Delta G_H,380069,,"DIN EN ISO 105-B01:2014-12, Textilien_- Farbechtheitsprüfungen_- Teil_B01: Farbechtheit gegen Licht: Tageslicht (ISO_105-B01:2014); Deutsche Fassung EN_ISO_105-B01:2014",10.31030/2248427
2,formula_surface,BPdZn2 MoB2-Fe-B01,hydrogen adsorption,998699,,Constructing Transition Metal Single-Atom-Modified MoB2: Extraordinary Electrocatalytic Hydrogen Evolution and Mechanism Investigation,10.1021/acsenergylett.3c02100.s001
2,formula_surface,BPdZn2 MoB2-Fe-B01,H adsorption,501596,,"DIN EN ISO 105-B01:2014-12, Textilien_- Farbechtheitsprüfungen_- Teil_B01: Farbechtheit gegen Licht: Tageslicht (ISO_105-B01:2014); Deutsche Fassung EN_ISO_105-B01:2014",10.31030/2248427
