rank,candidate_id,formula,surface,exact_her_dgH_records_local,formula_surface_her_dgH_records_local,formula_her_dgH_records_local,surface_her_dgH_records_local,surface_her_examples_local
1,"C8Ga9|MoB2-Ru-B01|001|{""H"": ""site3""}",C8Ga9,MoB2-Ru-B01,0,0,0,24,"data/raw/her_reactions_full_strict.csv: Mo26RuB55|MoB2-Ru-B01|001, formula=Mo26RuB55, site=site3, energy=-0.5560695149999901 || data/raw/her_reactions_full_strict.csv: Mo26RuB55|MoB2-Ru-B01|001, formula=Mo26RuB55, site=site4, energy=-0.4287491750000072 || data/raw/her_reactions_full_strict.csv: Mo26RuB55|MoB2-Ru-B01|001, formula=Mo26RuB55, site=site5, energy=-0.4233465350000642 || data/raw/her_reactions_full_strict.csv: Mo26RuB55|MoB2-Ru-B01|001, formula=Mo26RuB55, site=site2, energy=-0.5783278050000717 || data/raw/her_reactions_full_strict.csv: Mo26RuB55|MoB2-Ru-B01|001, formula=Mo26RuB55, site=site7, energy=0.2636076649998813 || data/raw/her_reactions_full.csv: Mo26RuB55|MoB2-Ru-B01|001, formula=Mo26RuB55, site=site3, energy=-0.5560695149999901"
2,"BPdZn2|MoB2-Fe-B01|001|{""H"": ""site5""}",BPdZn2,MoB2-Fe-B01,0,0,0,22,"data/raw/her_reactions_full_strict.csv: FeMo26B55|MoB2-Fe-B01|001, formula=FeMo26B55, site=site5, energy=0.1479720349998388 || data/raw/her_reactions_full_strict.csv: FeMo26B55|MoB2-Fe-B01|001, formula=FeMo26B55, site=site2, energy=-0.589381175000085 || data/raw/her_reactions_full_strict.csv: FeMo26B55|MoB2-Fe-B01|001, formula=FeMo26B55, site=site7, energy=1.5651218349999 || data/raw/her_reactions_full_strict.csv: FeMo26B55|MoB2-Fe-B01|001, formula=FeMo26B55, site=site1, energy=-0.5894389350000893 || data/raw/her_reactions_full_strict.csv: FeMo26B55|MoB2-Fe-B01|001, formula=FeMo26B55, site=site6, energy=1.4873982449998948 || data/raw/her_reactions_full.csv: FeMo26B55|MoB2-Fe-B01|001, formula=FeMo26B55, site=site5, energy=0.1479720349998388"
3,"Pb10Pt11|HgIn|101|{""H"": ""top-tilt|B""}",Pb10Pt11,HgIn,0,0,0,16,"data/raw/her_reactions_full_strict.csv: Hg6In6|HgIn|101, formula=Hg6In6, site=top-tilt|B, energy=0.8594817636412984 || data/raw/her_reactions_full_strict.csv: Hg6In6|HgIn|101, formula=Hg6In6, site=bridge|B_B|A, energy=0.7328914126419761 || data/raw/her_reactions_full_strict.csv: Hg6In6|HgIn|101, formula=Hg6In6, site=top|A, energy=1.106160577540351 || data/raw/her_reactions_full_strict.csv: Hg6In6|HgIn|101, formula=Hg6In6, site=top|B, energy=0.8547211320410781 || data/raw/her_reactions_full.csv: Hg6In6|HgIn|101, formula=Hg6In6, site=top-tilt|B, energy=0.8594817636412984 || data/raw/her_reactions_full.csv: Hg6In6|HgIn|101, formula=Hg6In6, site=bridge|B_B|A, energy=0.7328914126419761"
4,"B10Zn7|Au3Ru|111|{""H"": ""hollow|A_A_B|HCP""}",B10Zn7,Au3Ru,0,0,0,54,"data/raw/her_reactions_full_strict.csv: Au9Ru3|Au3Ru|111, formula=Au9Ru3, site=bridge|A_B|A, energy=-0.1503167728578489 || data/raw/her_reactions_full_strict.csv: Au9Ru3|Au3Ru|111, formula=Au9Ru3, site=top|B, energy=-0.1005515056594674 || data/raw/her_reactions_full_strict.csv: Au9Ru3|Au3Ru|111, formula=Au9Ru3, site=top-tilt|A, energy=0.4786437523407869 || data/raw/her_reactions_full_strict.csv: Au9Ru3|Au3Ru|111, formula=Au9Ru3, site=hollow, energy=-0.3441758417156393 || data/raw/her_reactions_full_strict.csv: Au9Ru3|Au3Ru|111, formula=Au9Ru3, site=hollow|A_A_A|FCC, energy=0.3176718178411022 || data/raw/her_reactions_full.csv: Au9Ru3|Au3Ru|111, formula=Au9Ru3, site=bridge|A_B|A, energy=-0.1503167728578489"
5,"B5Mo2|In3Zn|111|{""H"": ""hollow|A_A_A|FCC""}",B5Mo2,In3Zn,0,0,0,12,"data/raw/her_reactions_full_strict.csv: In9Zn3|In3Zn|111, formula=In9Zn3, site=bridge, energy=1.0311680444884246 || data/raw/her_reactions_full.csv: In9Zn3|In3Zn|111, formula=In9Zn3, site=bridge, energy=8.520570831383907 || data/raw/her_reactions_full.csv: In9Zn3|In3Zn|111, formula=In9Zn3, site=bridge, energy=7.821502216444514 || data/raw/her_reactions_full.csv: In9Zn3|In3Zn|111, formula=In9Zn3, site=bridge, energy=7.440153175359569 || data/raw/her_reactions_full.csv: In9Zn3|In3Zn|111, formula=In9Zn3, site=bridge, energy=-0.2514852967718184 || data/raw/her_reactions_full.csv: In9Zn3|In3Zn|111, formula=In9Zn3, site=bridge, energy=3.1198759101058613"
6,"BInMoSn|Re3Ta|111|{""H"": ""hollow|A_A_A|FCC""}",BInMoSn,Re3Ta,0,0,0,40,"data/raw/her_reactions_full_strict.csv: Re9Ta3|Re3Ta|111, formula=Re9Ta3, site=hollow, energy=-1.5756398079155929 || data/raw/her_reactions_full_strict.csv: Re9Ta3|Re3Ta|111, formula=Re9Ta3, site=bridge|A_A|B, energy=-0.6178212731601604 || data/raw/her_reactions_full_strict.csv: Re9Ta3|Re3Ta|111, formula=Re9Ta3, site=bridge|A_B|A, energy=-0.556773349758231 || data/raw/her_reactions_full_strict.csv: Re9Ta3|Re3Ta|111, formula=Re9Ta3, site=hollow|A_A_A|FCC, energy=-0.6662975371573054 || data/raw/her_reactions_full_strict.csv: Re9Ta3|Re3Ta|111, formula=Re9Ta3, site=hollow|A_A_A|HCP, energy=-0.7332446164573128 || data/raw/her_reactions_full.csv: Re9Ta3|Re3Ta|111, formula=Re9Ta3, site=hollow, energy=-5.826366136679383"
7,"B17Mo7|MoB2-Nb-B00|001|{""H"": ""site4""}",B17Mo7,MoB2-Nb-B00,0,0,0,0,
8,"B6Ga|NbV|101|{""H"": ""hollow|A_B_B|HCP""}",B6Ga,NbV,0,0,0,26,"data/raw/her_reactions_full_strict.csv: Nb6V6|NbV|101, formula=Nb6V6, site=hollow|A_A_B|FCC, energy=-0.8104936535591776 || data/raw/her_reactions_full_strict.csv: Nb6V6|NbV|101, formula=Nb6V6, site=hollow|A_A_B|HCP, energy=-0.8822776923579738 || data/raw/her_reactions_full_strict.csv: Nb6V6|NbV|101, formula=Nb6V6, site=hollow|A_B_B|FCC, energy=-0.8733716785563672 || data/raw/her_reactions_full_strict.csv: Nb6V6|NbV|101, formula=Nb6V6, site=hollow|A_B_B|HCP, energy=-0.9187873421569464 || data/raw/her_reactions_full.csv: Nb6V6|NbV|101, formula=Nb6V6, site=hollow, energy=-6.6060970486790325 || data/raw/her_reactions_full.csv: Nb6V6|NbV|101, formula=Nb6V6, site=hollow, energy=-7.830741297990585"
9,"BCoReZn|PtSn|101|{""H"": ""top|A""}",BCoReZn,PtSn,0,0,0,15,"data/raw/her_reactions_full_strict.csv: Pt6Sn6|PtSn|101, formula=Pt6Sn6, site=top, energy=0.1809586958862041 || data/raw/her_reactions_full_strict.csv: Pt6Sn6|PtSn|101, formula=Pt6Sn6, site=top|A, energy=0.090479347943102 || data/raw/her_reactions_full.csv: Pt6Sn6|PtSn|101, formula=Pt6Sn6, site=top, energy=5.69193686609799 || data/raw/her_reactions_full.csv: Pt6Sn6|PtSn|101, formula=Pt6Sn6, site=top, energy=0.1809586958862041 || data/raw/her_reactions_full.csv: Pt6Sn6|PtSn|101, formula=Pt6Sn6, site=top, energy=3.0070123415851526 || data/raw/her_reactions_full.csv: Pt6Sn6|PtSn|101, formula=Pt6Sn6, site=top, energy=7.445625520587214"
10,"B9C5Cr4H3|CuGa|101|{""H"": ""bridge|A_A|B""}",B9C5Cr4H3,CuGa,0,0,0,5,"data/raw/her_reactions_full.csv: Cu6Ga6|CuGa|101, formula=Cu6Ga6, site=bridge, energy=-0.2875011957797255 || data/raw/her_reactions_full.csv: Cu6Ga6|CuGa|101, formula=Cu6Ga6, site=bridge, energy=1.4068471857026452 || data/raw/her_reactions_full.csv: Cu6Ga6|CuGa|101, formula=Cu6Ga6, site=bridge, energy=-1.3332763111593522 || data/raw/her_reactions_full.csv: Cu6Ga6|CuGa|101, formula=Cu6Ga6, site=bridge, energy=0.2701738031920513 || data/raw/her_reactions_full.csv: Cu6Ga6|CuGa|101, formula=Cu6Ga6, site=bridge, energy=-1.5359351333590894"
