candidate_id,formula,surface,facet,site,ratio,source,fallback_used,candidate_in_training,formula_in_training,pred_dG_H_mu,pred_dG_H_sigma,activity_distance,priority_score,uncertainty_weight
Ag3Cu9|AgCu3|111,Ag3Cu9,AgCu3,111,hollow,AB3,rule_based_generated,False,False,True,0.009851982984696918,0.008872749747038782,0.009851982984696918,0.014288357858216309,0.5
Au3Cu9|AuCu3|111,Au3Cu9,AuCu3,111,hollow,AB3,rule_based_generated,False,False,True,-0.00048267882414112335,0.03866997943645328,0.00048267882414112335,0.019817668542367765,0.5
Pt3Cu9|PtCu3|111,Pt3Cu9,PtCu3,111,bridge,AB3,rule_based_generated,False,False,False,0.006469666444576181,0.027690376947989835,0.006469666444576181,0.020314854918571098,0.5
Au3Ir9|AuIr3|111,Au3Ir9,AuIr3,111,top,AB3,rule_based_generated,False,False,True,0.0028577625229138613,0.03614105928259894,0.0028577625229138613,0.02092829216421333,0.5
W3Cr9|WCr3|111,W3Cr9,WCr3,111,top,AB3,rule_based_generated,False,False,False,0.010336857732730015,0.02790393266036606,0.010336857732730015,0.024288824062913043,0.5
Ag9Fe3|Ag3Fe|101,Ag9Fe3,Ag3Fe,101,hollow,A3B,rule_based_generated,False,False,True,-0.0009217654194800821,0.04718891750420422,0.0009217654194800821,0.02451622417158219,0.5
Pt9Mo3|Pt3Mo|111,Pt9Mo3,Pt3Mo,111,hollow,A3B,rule_based_generated,False,False,False,-0.023134606102776414,0.005571593641035044,0.023134606102776414,0.025920402923293936,0.5
Mn3Zn9|MnZn3|111,Mn3Zn9,MnZn3,111,hollow,AB3,rule_based_generated,False,False,True,0.02468532023505869,0.010372079719440425,0.02468532023505869,0.029871360094778903,0.5
Rh6Ga6|RhGa|101,Rh6Ga6,RhGa,101,top,AB,rule_based_generated,False,False,False,-0.01426826716748226,0.032678782039696805,0.01426826716748226,0.03060765818733066,0.5
Cr6Al6|CrAl|101,Cr6Al6,CrAl,101,hollow,AB,rule_based_generated,False,False,False,0.01177169075031501,0.03858186417938787,0.01177169075031501,0.031062622840008946,0.5
Au3Ir9|AuIr3|100,Au3Ir9,AuIr3,100,top,AB3,rule_based_generated,False,False,True,0.005196360269723845,0.05356079266018809,0.005196360269723845,0.03197675659981789,0.5
Rh3Cu9|RhCu3|111,Rh3Cu9,RhCu3,111,top,AB3,rule_based_generated,False,False,False,-0.0009853383096628024,0.06912950259929687,0.0009853383096628024,0.03555008960931124,0.5
Ru6Mn6|RuMn|101,Ru6Mn6,RuMn,101,bridge,AB,rule_based_generated,False,False,False,0.0014881484874750537,0.0685640370476496,0.0014881484874750537,0.035770167011299855,0.5
W3Cr9|WCr3|100,W3Cr9,WCr3,100,top,AB3,rule_based_generated,False,False,False,0.012325288224103026,0.04917750142182676,0.012325288224103026,0.03691403893501641,0.5
Au3Ir9|AuIr3|101,Au3Ir9,AuIr3,101,top,AB3,rule_based_generated,False,False,True,0.005652822786387723,0.07043734134656815,0.005652822786387723,0.040871493459671795,0.5
Rh3Cu9|RhCu3|100,Rh3Cu9,RhCu3,100,top,AB3,rule_based_generated,False,False,False,0.0004122598520818118,0.08189365708767886,0.0004122598520818118,0.04135908839592124,0.5
Mn3Zn9|MnZn3|101,Mn3Zn9,MnZn3,101,hollow,AB3,rule_based_generated,False,False,True,0.022916217956227173,0.040360693345963455,0.022916217956227173,0.0430965646292089,0.5
Pt3Cu9|PtCu3|101,Pt3Cu9,PtCu3,101,bridge,AB3,rule_based_generated,False,False,False,-0.01025381040330319,0.06859037381821897,0.01025381040330319,0.04454899731241268,0.5
Ru3Al9|RuAl3|111,Ru3Al9,RuAl3,111,top,AB3,rule_based_generated,False,False,False,0.033230511371590325,0.023143147903113954,0.033230511371590325,0.044802085323147306,0.5
W3Cr9|WCr3|101,W3Cr9,WCr3,101,top,AB3,rule_based_generated,False,False,False,0.016313077810197717,0.057241779766681454,0.016313077810197717,0.04493396769353844,0.5
W6Cr6|WCr|101,W6Cr6,WCr,101,top,AB,rule_based_generated,False,False,False,0.024987928150657774,0.04074641202973076,0.024987928150657774,0.045361134165523155,0.5
W6Cr6|WCr|100,W6Cr6,WCr,100,top,AB,rule_based_generated,False,False,False,0.024082879365270683,0.0441573418333693,0.024082879365270683,0.04616155028195533,0.5
W3Al9|WAl3|111,W3Al9,WAl3,111,top,AB3,rule_based_generated,False,False,False,-0.005152665048921577,0.08258382516710042,0.005152665048921577,0.046444577632471784,0.5
W6Cr6|WCr|111,W6Cr6,WCr,111,top,AB,rule_based_generated,False,False,False,0.0257045265937763,0.04235003609509047,0.0257045265937763,0.04687954464132153,0.5
Ir6Fe6|IrFe|101,Ir6Fe6,IrFe,101,bridge,AB,rule_based_generated,False,False,False,-0.035533208962135264,0.025376318944728214,0.035533208962135264,0.04822136843449937,0.5
Rh3Cu9|RhCu3|101,Rh3Cu9,RhCu3,101,top,AB3,rule_based_generated,False,False,False,0.004592731830391439,0.09197638821963164,0.004592731830391439,0.05058092594020726,0.5
Fe3Zn9|FeZn3|111,Fe3Zn9,FeZn3,111,hollow,AB3,rule_based_generated,False,False,True,-0.04524605478278167,0.011388038856758527,0.04524605478278167,0.05094007421116093,0.5
Au6Mo6|AuMo|100,Au6Mo6,AuMo,100,top,AB,rule_based_generated,False,False,True,0.01816753489988693,0.06778085697196083,0.01816753489988693,0.05205796338586735,0.5
Ir6Ga6|IrGa|101,Ir6Ga6,IrGa,101,top,AB,rule_based_generated,False,False,False,0.0452796970410392,0.014205160767520701,0.0452796970410392,0.05238227742479955,0.5
