candidate_id,formula,surface,facet,site,ratio,source,fallback_used,candidate_in_training,formula_in_training,pred_dG_H_mu,pred_dG_H_sigma,activity_distance,priority_score,uncertainty_weight
Pt3Cu9|PtCu3|111,Pt3Cu9,PtCu3,111,bridge,AB3,rule_based_generated,False,False,False,0.006469666444576181,0.027690376947989835,0.006469666444576181,0.020314854918571098,0.5
W3Cr9|WCr3|111,W3Cr9,WCr3,111,top,AB3,rule_based_generated,False,False,False,0.010336857732730015,0.02790393266036606,0.010336857732730015,0.024288824062913043,0.5
Pt9Mo3|Pt3Mo|111,Pt9Mo3,Pt3Mo,111,hollow,A3B,rule_based_generated,False,False,False,-0.023134606102776414,0.005571593641035044,0.023134606102776414,0.025920402923293936,0.5
Rh6Ga6|RhGa|101,Rh6Ga6,RhGa,101,top,AB,rule_based_generated,False,False,False,-0.01426826716748226,0.032678782039696805,0.01426826716748226,0.03060765818733066,0.5
Cr6Al6|CrAl|101,Cr6Al6,CrAl,101,hollow,AB,rule_based_generated,False,False,False,0.01177169075031501,0.03858186417938787,0.01177169075031501,0.031062622840008946,0.5
Rh3Cu9|RhCu3|111,Rh3Cu9,RhCu3,111,top,AB3,rule_based_generated,False,False,False,-0.0009853383096628024,0.06912950259929687,0.0009853383096628024,0.03555008960931124,0.5
Ru6Mn6|RuMn|101,Ru6Mn6,RuMn,101,bridge,AB,rule_based_generated,False,False,False,0.0014881484874750537,0.0685640370476496,0.0014881484874750537,0.035770167011299855,0.5
W3Cr9|WCr3|100,W3Cr9,WCr3,100,top,AB3,rule_based_generated,False,False,False,0.012325288224103026,0.04917750142182676,0.012325288224103026,0.03691403893501641,0.5
Rh3Cu9|RhCu3|100,Rh3Cu9,RhCu3,100,top,AB3,rule_based_generated,False,False,False,0.0004122598520818118,0.08189365708767886,0.0004122598520818118,0.04135908839592124,0.5
Pt3Cu9|PtCu3|101,Pt3Cu9,PtCu3,101,bridge,AB3,rule_based_generated,False,False,False,-0.01025381040330319,0.06859037381821897,0.01025381040330319,0.04454899731241268,0.5
Ru3Al9|RuAl3|111,Ru3Al9,RuAl3,111,top,AB3,rule_based_generated,False,False,False,0.033230511371590325,0.023143147903113954,0.033230511371590325,0.044802085323147306,0.5
